source	interaction	target
AR	upregulates-expression	TMPRSS2
ONECUT2	upregulates-expression	MITF
CEACAM6	downregulates-expression	GLI2
CEACAM7	downregulates-expression	GLI2
SMAD7	upregulates-expression	TGFB1
JAK2	upregulates-expression	IL1R1
SUPT3H	upregulates-expression	HSPD1
JAK2	upregulates-expression	IL23R
EBI3	upregulates-expression	IFNG
NR3C1	upregulates-expression	PER2
CEBPB	upregulates-expression	SERPINA1
CTNNB1	upregulates-expression	SNAI2
CEBPA	upregulates-expression	SERPINC1
FOXA2	upregulates-expression	ABCC8
MPG	downregulates-expression	TFF1
ONECUT1	upregulates-expression	NEUROG3
ABCB1	upregulates-expression	FOXO1
CYP17A1	downregulates-expression	SMAD3
SMAD3	downregulates-expression	CYP17A1
FOXO1	upregulates-expression	ABCA6
FOXO3	upregulates-expression	ABCA6
NFE2L2	upregulates-expression	PTGR1
SREBF1	upregulates-expression	FAS
TP53BP1	upregulates-expression	BRCA1
EP300	upregulates-expression	NR0B2
SMARCD3	upregulates-expression	HMGCR
BCL2	upregulates-expression	LEF1
USF1	upregulates-expression	S100A6
MLLT10	downregulates-expression	BAX
ZNF382	downregulates-expression	JUN
ZNF383	downregulates-expression	JUN
ZFP42	upregulates-expression	YY1
SOX2	upregulates-expression	TDGF1
HIC1	upregulates-expression	STAT3
AR	upregulates-expression	ERBB2
AR	upregulates-expression	ERBB3
HDAC1	upregulates-expression	ICAM1
YBX1	upregulates-expression	CXCR4
NPAS2	upregulates-expression	SERPINE1
TBL1XR1	upregulates-expression	SLC27A1
GNL3	upregulates-expression	MYC
ELK1	upregulates-expression	PSEN1
GATA2	upregulates-expression	GATA1
MYC	upregulates-expression	EBNA1BP2
NFE2L2	upregulates-expression	MGST2
NFE2L2	upregulates-expression	MGST3
PTGDR	upregulates-expression	SIRT1
HCFC1	upregulates-expression	TFB2M
HCFC1	upregulates-expression	TFB1M
MAX	downregulates-expression	GADD45A
MYC	downregulates-expression	BRD7
FOXP2	upregulates-expression	SRPX
HNF4A	upregulates-expression	CYP2C8
HNF4A	upregulates-expression	CYP2C9
EP300	upregulates-expression	NCL
ARNT	upregulates-expression	POU5F1
MYC	downregulates-expression	GADD45A
GADD45A	downregulates-expression	MYC
HNF4A	upregulates-expression	CYP2D6
NFKB1	upregulates-expression	CRHR1
HNF4G	upregulates-expression	CYP2D6
RELA	downregulates-expression	SERPINA3
ESR1	upregulates-expression	HTRA2
CYP2E1	upregulates-expression	HNF1A
RELA	upregulates-expression	MUC2
PDX1	upregulates-expression	NR5A2
IL4	upregulates-expression	HSPA8
HSF2	upregulates-expression	KLRC3
NR1I2	upregulates-expression	THBS1
HELZ2	upregulates-expression	CYP1A1
JUN	upregulates-expression	APOC3
SP4	upregulates-expression	YY1
SP1	upregulates-expression	YY1
SP3	upregulates-expression	YY1
EBP	upregulates-expression	SREBF2
H3F3B	upregulates-expression	CCND1
TRIM59	downregulates-expression	C3
MYC	upregulates-expression	PFKM
PFKM	upregulates-expression	MYC
MEF2A	downregulates-expression	SOST
MEF2C	downregulates-expression	SOST
SMAD3	upregulates-expression	ENG
SMAD4	upregulates-expression	ENG
DLX4	downregulates-expression	BRCA1
NFE2L2	upregulates-expression	ADH7
MEF2D	downregulates-expression	SOST
EPO	upregulates-expression	SMAD3
EPO	upregulates-expression	SMAD4
RELA	downregulates-expression	TRIB3
KLF2	downregulates-expression	CXCR4
STAT1	downregulates-expression	HSP90AA1
NFKB1	upregulates-expression	PTAFR
KLF4	upregulates-expression	KRT19
WT1	upregulates-expression	VDR
ERCC2	upregulates-expression	MDC1
ERCC3	upregulates-expression	MDC1
SUPT5H	upregulates-expression	RAD51D
HELZ2	upregulates-expression	ALAS1
PPARG	downregulates-expression	CSF1
XBP1	upregulates-expression	PREB
ABCA3	upregulates-expression	FOXA2
PSEN1	downregulates-expression	RBPJ
NFIC	downregulates-expression	MATN1
SPI1	upregulates-expression	PEBP1
ABCA1	downregulates-expression	GLI2
SUPT7L	upregulates-expression	HSPD1
IL2RG	upregulates-expression	TNFRSF18
IL2RA	upregulates-expression	TNFRSF18
IL2RB	upregulates-expression	TNFRSF18
MYC	upregulates-expression	SURF1
MYC	upregulates-expression	SURF2
ACTL6A	upregulates-expression	NME1
BCL6	downregulates-expression	GLI2
PIK3R1	upregulates-expression	BCL2L1
PBX1	upregulates-expression	PRL
NFE2L2	upregulates-expression	AGER
HTRA1	upregulates-expression	CTNNB1
FHL2	upregulates-expression	CDKN1A
FHL2	upregulates-expression	CDKN1B
E2F1	upregulates-expression	MYBL2
SLC46A1	upregulates-expression	JUN
PBX1	upregulates-expression	PF4
PBX2	upregulates-expression	PF4
TP63	upregulates-expression	TCF4
RUNX1	downregulates-expression	IL3
KRT1	upregulates-expression	TCF7L2
FOS	downregulates-expression	TP53
FOS	upregulates-expression	SMAD7
HIST2H2AC	upregulates-expression	KLK2
HIST2H2AC	upregulates-expression	KLK3
HIST2H2BE	upregulates-expression	KLK2
HIST2H2BE	upregulates-expression	KLK3
NANOG	upregulates-expression	STAT3
STAT3	upregulates-expression	NANOG
HNF4A	downregulates-expression	GFER
RELA	upregulates-expression	BRCA2
IKBKB	downregulates-expression	NOS2
B2M	upregulates-expression	PRF1
CREB1	upregulates-expression	NOLC1
UBE2D1	upregulates-expression	IL6
TGS1	upregulates-expression	SULT2A1
RELA	upregulates-expression	VEGFD
RELA	upregulates-expression	VEGFA
UBE2E1	upregulates-expression	IL6
RUNX1	upregulates-expression	TJP1
FAM120B	upregulates-expression	ADIPOQ
STAT3	downregulates-expression	UCP2
AR	upregulates-expression	KISS1R
FOXO1	upregulates-expression	BBC3
EPAS1	upregulates-expression	FLT1
FOXO3	upregulates-expression	BBC3
SP1	upregulates-expression	GFER
PIK3CA	upregulates-expression	BCL2L1
MAX	upregulates-expression	PFKM
LRRFIP1	downregulates-expression	TNF
SMARCD3	upregulates-expression	TNFRSF21
TMF1	upregulates-expression	KLK3
MAX	upregulates-expression	BCAT1
HIST2H3C	upregulates-expression	MYC
SP1	upregulates-expression	WT1
BCL6	downregulates-expression	SUMO1
WT1	upregulates-expression	SRY
MYC	upregulates-expression	BCAT1
PML	upregulates-expression	EP300
EP300	upregulates-expression	PML
PTGES2	upregulates-expression	IRF9
TGS1	upregulates-expression	ACADM
FLI1	downregulates-expression	MIR708
CCNC	upregulates-expression	ADIPOQ
HLF	downregulates-expression	RUNX1
NR2C1	downregulates-expression	KLK3
NR2C2	downregulates-expression	KLK3
SMAD2	upregulates-expression	GSC
EP300	upregulates-expression	NR1D1
BCL6	downregulates-expression	LITAF
TRIM28	downregulates-expression	SIRT1
ANKRD1	upregulates-expression	SMAD4
ANKRD1	upregulates-expression	SMAD2
ANKRD1	upregulates-expression	SMAD3
SMAD3	upregulates-expression	FST
HIST3H2BB	upregulates-expression	MYC
NR2F2	downregulates-expression	TERT
FOXO1	upregulates-expression	BCL6
FOXO3	upregulates-expression	BCL6
FOXO4	upregulates-expression	BCL6
PPARD	downregulates-expression	HSD11B2
ZNF382	downregulates-expression	MYC
TP63	upregulates-expression	TBXT
SOX2	upregulates-expression	LHX3
NR3C1	upregulates-expression	RPS6KA3
EZH2	downregulates-expression	PEBP1
FSHB	upregulates-expression	SMAD4
HNF1A	upregulates-expression	ALDOB
MNAT1	upregulates-expression	FANCI
ESR1	upregulates-expression	ZEB1
TP73	upregulates-expression	TUBA1A
