source	interaction	target
MYC	upregulates-expression	TERT
SMAD3	upregulates-expression	JUN
SMAD4	upregulates-expression	JUN
SP1	upregulates-expression	ALDOA
TP53	downregulates-expression	IGF1R
ZBTB16	downregulates-expression	CCNA2
RUNX1	downregulates-expression	IL3
STAT1	upregulates-expression	CDKN1A
STAT3	upregulates-expression	CDKN1A
RELA	upregulates-expression	ABCB1
TP53	upregulates-expression	CDKN1A
E2F1	upregulates-expression	CDKN1A
E2F3	upregulates-expression	CDKN1A
YY1	upregulates-expression	NR3C1
TP53	downregulates-expression	BCL2
STAT4	upregulates-expression	IRF1
WT1	upregulates-expression	ODC1
IRF3	upregulates-expression	IFNA1
HNF1A	upregulates-expression	IGF1
STAT5A	upregulates-expression	IGF1
ETS1	upregulates-expression	TIMP1
ARNT	upregulates-expression	CYP1B1
AHR	upregulates-expression	CYP1B1
TP53	downregulates-expression	CCNB1
STAT5A	upregulates-expression	CCND1
TP53	upregulates-expression	MDM2
RBPJ	upregulates-expression	HES1
ATF2	upregulates-expression	CCND1
JUN	upregulates-expression	CCND1
NFATC2	upregulates-expression	IL4
RARA	upregulates-expression	SFTPB
HNF4A	upregulates-expression	GUCY2C
JUN	downregulates-expression	TP53
STAT3	upregulates-expression	PRF1
PPARG	downregulates-expression	SERPINE1
SP1	upregulates-expression	FASLG
AR	upregulates-expression	KLK3
ATF1	upregulates-expression	CFTR
SP1	upregulates-expression	GAST
GATA4	upregulates-expression	NPPA
RARB	downregulates-expression	RARG
RARG	upregulates-expression	RARB
JUN	upregulates-expression	CCL5
RELA	upregulates-expression	CD40
RELA	upregulates-expression	IFNG
ESR2	upregulates-expression	RARA
ESR1	upregulates-expression	RARA
PAX6	upregulates-expression	KRT12
EGR1	upregulates-expression	LHB
TP53	downregulates-expression	FOS
SP1	upregulates-expression	FOS
SP1	upregulates-expression	EGR1
MYC	upregulates-expression	ENO1
TP53	downregulates-expression	CCND1
CREB1	upregulates-expression	PCK1
RELA	upregulates-expression	NOS2
NFKB1	upregulates-expression	NOS2
ATF4	upregulates-expression	DDIT3
ATF4	upregulates-expression	ATF3
ATF3	upregulates-expression	DDIT3
SMAD4	upregulates-expression	SERPINE1
SMAD3	upregulates-expression	SERPINE1
STAT1	upregulates-expression	IRF8
TP53	upregulates-expression	S100A2
TP53	upregulates-expression	BAX
TP53	upregulates-expression	CCNG1
STAT4	upregulates-expression	IFNG
PPARG	upregulates-expression	LPL
NR5A1	upregulates-expression	CYP17A1
