dataset	num_common_tfs	common_tfs
FrangiehIzar2021_RNA	22	['CCND1', 'CDKN1A', 'CDKN2A', 'DNMT1', 'E2F1', 'FOS', 'FOXM1', 'IRF3', 'JAK1', 'JAK2', 'KLF4', 'MYC', 'RB1', 'RUVBL2', 'SMAD3', 'SMAD4', 'STAT1', 'STAT3', 'TFAP2A', 'TIMP3', 'TP53', 'TSC22D3']
GasperiniShendure2019_lowMOI	13	['APEX1', 'BTF3', 'CEBPB', 'GATA2', 'H3F3B', 'LMO2', 'MAX', 'MYC', 'NPM1', 'POLR2K', 'RBBP4', 'RBMX', 'TAF12']
NadigOConner2024_hepg2	90	['ACTL6A', 'ASF1B', 'ATF4', 'ATR', 'BRCA1', 'CCND1', 'CCNH', 'CCNK', 'CDC6', 'CDK12', 'CDK7', 'CDK9', 'CHEK1', 'CLOCK', 'CTDP1', 'DNMT1', 'E2F6', 'ELL', 'ELOB', 'ERCC2', 'ERCC3', 'FOXO1', 'GABPA', 'GABPB1', 'GATA1', 'GTF2F1', 'GTF2F2', 'GTF2H1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'HDAC3', 'HDAC7', 'HMGA1', 'HSF1', 'KAT5', 'LIN52', 'LIN54', 'MAX', 'MCM5', 'MED1', 'MNAT1', 'MYB', 'MYBL2', 'MYC', 'NANOG', 'NELFA', 'NELFB', 'NELFCD', 'NELFE', 'NF1', 'NFYB', 'NFYC', 'NPM1', 'NRF1', 'POLR2A', 'POLR2B', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'POLR2H', 'POLR2I', 'POLR2K', 'POLR2L', 'RAD51', 'RAD51D', 'RBBP4', 'RBMX', 'RUVBL1', 'RUVBL2', 'SP1', 'SRF', 'SSRP1', 'STAT5A', 'STAT5B', 'SUPT16H', 'SUPT4H1', 'SUPT5H', 'TBP', 'TFDP1', 'TGS1', 'TNRC6A', 'TRRAP', 'USF2', 'VHL', 'YBX1', 'YY1', 'ZBTB17']
NadigOConner2024_jurkat	85	['ACTL6A', 'ASF1B', 'ATF4', 'ATR', 'BRCA1', 'CCND1', 'CCNH', 'CCNK', 'CDC6', 'CDK12', 'CDK7', 'CDK9', 'CHEK1', 'CLOCK', 'CTDP1', 'DNMT1', 'E2F6', 'ELL', 'ELOB', 'ERCC2', 'ERCC3', 'FOXO1', 'GABPA', 'GABPB1', 'GATA1', 'GTF2F1', 'GTF2F2', 'GTF2H1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'HDAC3', 'HSF1', 'KAT5', 'LIN52', 'LIN54', 'LMO2', 'MAX', 'MCM6', 'MED1', 'MNAT1', 'MYB', 'MYBL2', 'MYC', 'NANOG', 'NELFA', 'NELFB', 'NELFCD', 'NELFE', 'NFYB', 'NFYC', 'NPM1', 'NRF1', 'POLR2A', 'POLR2B', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'POLR2H', 'POLR2I', 'POLR2K', 'POLR2L', 'RAD51', 'RAD51D', 'RBBP4', 'RUVBL1', 'RUVBL2', 'SP1', 'SSRP1', 'STAT5A', 'STAT5B', 'SUPT16H', 'SUPT4H1', 'SUPT5H', 'TFDP1', 'TGS1', 'TNRC6A', 'TRRAP', 'USF2', 'VHL', 'YBX1', 'YY1', 'ZBTB17']
NormanWeissman2019_filtered	16	['AHR', 'CDKN1A', 'CEBPA', 'CEBPB', 'EGR1', 'ETS2', 'FOXA1', 'FOXO4', 'HNF4A', 'IRF1', 'JUN', 'MAML2', 'MAPK1', 'SNAI1', 'SPI1', 'TP73']
PapalexiSatija2021_eccite_RNA	10	['ATF2', 'IRF1', 'JAK2', 'MYC', 'NFKBIA', 'SMAD4', 'SPI1', 'STAT1', 'STAT3', 'STAT5A']
ReplogleWeissman2022_K562_essential	77	['ACTL6A', 'ASF1B', 'ATF4', 'ATR', 'BRCA1', 'CCND1', 'CCNH', 'CCNK', 'CDC6', 'CDK7', 'CDK9', 'CHEK1', 'CTDP1', 'DNMT1', 'E2F6', 'ELL', 'ERCC2', 'ERCC3', 'GABPA', 'GATA1', 'GTF2F1', 'GTF2F2', 'GTF2H1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'HDAC3', 'HDAC7', 'HSF1', 'KAT5', 'LIN52', 'LIN54', 'MAX', 'MCM5', 'MED1', 'MNAT1', 'MYBL2', 'MYC', 'NANOG', 'NELFA', 'NELFB', 'NELFCD', 'NELFE', 'NFYB', 'NFYC', 'NPM1', 'NRF1', 'POLR2A', 'POLR2B', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'POLR2H', 'POLR2I', 'POLR2K', 'POLR2L', 'RAD51', 'RAD51D', 'RBBP4', 'RBMX', 'RUVBL1', 'RUVBL2', 'SSRP1', 'STAT5A', 'SUPT16H', 'SUPT4H1', 'SUPT5H', 'TFDP1', 'TGS1', 'TRRAP', 'USF2', 'VHL', 'YBX1', 'YY1', 'ZBTB17']
ReplogleWeissman2022_K562_gwps	226	['ACTL6A', 'AGO1', 'AGO2', 'AGO3', 'AKT1', 'APC', 'AR', 'ARNT', 'ARNTL', 'ASF1B', 'ATF2', 'ATF3', 'ATF4', 'ATF6', 'ATM', 'ATR', 'BCL6', 'BRCA1', 'CARM1', 'CBFB', 'CCND1', 'CCNH', 'CCNK', 'CCNT1', 'CCNT2', 'CDC6', 'CDK12', 'CDK7', 'CDK9', 'CEBPA', 'CEBPB', 'CHD9', 'CHEK1', 'CLOCK', 'CREB1', 'CREB5', 'CREBBP', 'CTDP1', 'CTNNB1', 'DDIT3', 'DNMT1', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'E2F6', 'EGR1', 'ELK1', 'ELL', 'ELOA', 'ELOB', 'EP300', 'EPAS1', 'ERCC2', 'ERCC3', 'ERG', 'ESR1', 'ESRRA', 'ETS1', 'EZH2', 'FANCD2', 'FANCI', 'FOS', 'FOSL1', 'FOSL2', 'FOXA1', 'FOXA2', 'FOXM1', 'FOXO1', 'FOXO3', 'FOXO4', 'GABPA', 'GABPB1', 'GATA1', 'GATA2', 'GLI2', 'GTF2F1', 'GTF2F2', 'GTF2H1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'GTF2H5', 'HDAC1', 'HDAC2', 'HDAC3', 'HDAC5', 'HDAC7', 'HES1', 'HEY1', 'HIC1', 'HIF1A', 'HSF1', 'IRF1', 'JUN', 'JUND', 'KAT2A', 'KAT2B', 'KAT5', 'KLF4', 'LEF1', 'LIN37', 'LIN52', 'LIN54', 'LIN9', 'LMO2', 'MAX', 'MCM5', 'MDC1', 'MECP2', 'MED1', 'MLXIPL', 'MNAT1', 'MOV10', 'MTA1', 'MYB', 'MYBL2', 'MYC', 'MYCN', 'NANOG', 'NCOA1', 'NCOA2', 'NCOA3', 'NCOA6', 'NELFA', 'NELFB', 'NELFCD', 'NELFE', 'NFATC2', 'NFE2L2', 'NFKB1', 'NFKB2', 'NFKBIA', 'NFYA', 'NFYB', 'NFYC', 'NPAS2', 'NPM1', 'NR1H4', 'NR1I2', 'NR3C1', 'NR4A1', 'NRF1', 'PARP1', 'PITX1', 'PML', 'POLE3', 'POLR2A', 'POLR2B', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'POLR2H', 'POLR2I', 'POLR2K', 'POLR2L', 'PPARA', 'PPARD', 'PPARG', 'RAD51', 'RAD51D', 'RARA', 'RB1', 'RBBP4', 'RBL1', 'RBL2', 'RBMX', 'RELA', 'RUNX1', 'RUNX2', 'RUNX3', 'RUVBL1', 'RUVBL2', 'RXRA', 'SIRT1', 'SMAD3', 'SMAD4', 'SMARCD3', 'SOX2', 'SP1', 'SP3', 'SPI1', 'SREBF1', 'SREBF2', 'SSRP1', 'STAT1', 'STAT3', 'STAT4', 'STAT5A', 'STAT5B', 'SUPT16H', 'SUPT4H1', 'SUPT5H', 'TAF9', 'TBL1X', 'TBL1XR1', 'TCEA1', 'TCF4', 'TCF7L2', 'TFAP2A', 'TFDP1', 'TFDP2', 'TGS1', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'TP53', 'TP53BP2', 'TP63', 'TP73', 'TRIM28', 'TRRAP', 'TWIST1', 'TWIST2', 'USF1', 'USF2', 'VHL', 'WT1', 'XBP1', 'YBX1', 'YY1', 'ZBTB17', 'ZNF382']
ReplogleWeissman2022_rpe1	89	['ACTL6A', 'ATF4', 'ATR', 'BRCA1', 'BTF3', 'CCND1', 'CCNH', 'CCNK', 'CDC6', 'CDK12', 'CDK7', 'CDK9', 'CHEK1', 'CLOCK', 'CTDP1', 'DNMT1', 'E2F6', 'ELL', 'ELOB', 'ERCC2', 'ERCC3', 'ETV4', 'FOXO1', 'GABPA', 'GABPB1', 'GATA1', 'GTF2F1', 'GTF2F2', 'GTF2H1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'HDAC3', 'HDAC7', 'HMGA1', 'HSF1', 'KAT5', 'LIN52', 'LIN54', 'MAX', 'MED1', 'MNAT1', 'MYB', 'MYBL2', 'MYC', 'NANOG', 'NELFA', 'NELFB', 'NELFCD', 'NELFE', 'NF1', 'NFYB', 'NFYC', 'NPM1', 'NRF1', 'POLR2A', 'POLR2B', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'POLR2H', 'POLR2I', 'POLR2K', 'POLR2L', 'RAD51', 'RAD51D', 'RBBP4', 'RBMX', 'RUVBL1', 'RUVBL2', 'SP1', 'SRF', 'SSRP1', 'STAT5A', 'STAT5B', 'SUPT16H', 'SUPT4H1', 'SUPT5H', 'TFDP1', 'TGS1', 'TNRC6A', 'TRRAP', 'USF2', 'VHL', 'YBX1', 'YY1', 'ZBTB17']
SunshineHein2023	19	['ATF4', 'ATF6', 'BCL2', 'BTF3', 'HDAC2', 'IRF3', 'IRF9', 'JAK1', 'MOV10', 'NFKBIA', 'POLR2B', 'RELA', 'SIRT1', 'SMAD3', 'SREBF1', 'SREBF2', 'STAT1', 'TYK2', 'XBP1']
