dataset	num_common_tfs	common_tfs
FrangiehIzar2021_RNA	25	['CCND1', 'CDKN1A', 'CDKN2A', 'DNMT1', 'E2F1', 'FOS', 'FOXM1', 'IRF3', 'IRF4', 'JAK1', 'JAK2', 'KLF4', 'MYC', 'NONO', 'RB1', 'RUVBL2', 'SMAD3', 'SMAD4', 'SOX4', 'STAT1', 'STAT3', 'TFAP2A', 'TIMP3', 'TP53', 'TSC22D3']
GasperiniShendure2019_lowMOI	26	['APEX1', 'ARID1A', 'BTF3', 'CEBPB', 'CTCFL', 'EWSR1', 'GATA2', 'GTF3A', 'H3F3B', 'HHEX', 'HOXB2', 'ID1', 'ID2', 'ID3', 'LMO2', 'MAX', 'MYC', 'NPM1', 'NR2F2', 'PARK7', 'POLR2K', 'RBBP4', 'RBMX', 'SMARCC1', 'TAF12', 'ZC3H8']
NadigOConner2024_hepg2	143	['ACTL6A', 'ARID3A', 'ASF1B', 'ATF4', 'ATF5', 'ATR', 'BRCA1', 'BRD4', 'CCND1', 'CCNH', 'CCNK', 'CDC6', 'CDK12', 'CDK7', 'CDK9', 'CEBPG', 'CEBPZ', 'CHEK1', 'CLOCK', 'CTBP2', 'CTCF', 'CTDP1', 'CXXC1', 'DMAP1', 'DNMT1', 'E2F6', 'E4F1', 'ELL', 'ELOB', 'ENO1', 'ERCC2', 'ERCC3', 'ETV4', 'EWSR1', 'FOXL2', 'FOXO1', 'GABPA', 'GABPB1', 'GATA1', 'GTF2F1', 'GTF2F2', 'GTF2H1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'GTF3A', 'HCFC1', 'HDAC3', 'HDAC7', 'HHEX', 'HINFP', 'HMBOX1', 'HMGA1', 'HSF1', 'KAT5', 'KAT7', 'KDM2A', 'KDM5C', 'LIN52', 'LIN54', 'LMO2', 'MAX', 'MCM5', 'MED1', 'MEF2A', 'MNAT1', 'MYB', 'MYBL2', 'MYC', 'MZF1', 'NANOG', 'NELFA', 'NELFB', 'NELFCD', 'NELFE', 'NF1', 'NFYB', 'NFYC', 'NKX6-1', 'NPM1', 'NRF1', 'POLR2A', 'POLR2B', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'POLR2H', 'POLR2I', 'POLR2K', 'POLR2L', 'PPARGC1B', 'PREB', 'RAD51', 'RAD51D', 'RBBP4', 'RBMX', 'RUVBL1', 'RUVBL2', 'SF1', 'SFPQ', 'SIN3A', 'SMARCC1', 'SNAPC4', 'SNW1', 'SP1', 'SP2', 'SRF', 'SRSF2', 'SSRP1', 'STAT5A', 'STAT5B', 'SUPT16H', 'SUPT4H1', 'SUPT5H', 'TADA2A', 'TAF1', 'TAF12', 'TBP', 'TBPL1', 'TFAM', 'TFAP4', 'TFDP1', 'TGS1', 'THAP1', 'THAP11', 'TNRC6A', 'TRRAP', 'UBTF', 'USF2', 'VHL', 'YBX1', 'YBX3', 'YY1', 'ZBTB11', 'ZBTB14', 'ZBTB17', 'ZBTB4', 'ZC3H8', 'ZNF143', 'ZNF236', 'ZNF24']
NadigOConner2024_jurkat	135	['ACTL6A', 'ARID3A', 'ARID5B', 'ASF1B', 'ATF4', 'ATF5', 'ATR', 'BRCA1', 'BRD4', 'CCND1', 'CCNH', 'CCNK', 'CDC6', 'CDK12', 'CDK7', 'CDK9', 'CEBPG', 'CEBPZ', 'CHEK1', 'CLOCK', 'CTBP2', 'CTCF', 'CTDP1', 'CXXC1', 'DNMT1', 'E2F6', 'ELL', 'ELOB', 'ENO1', 'ERCC2', 'ERCC3', 'ETV4', 'EWSR1', 'FOXL2', 'FOXO1', 'GABPA', 'GABPB1', 'GATA1', 'GTF2F1', 'GTF2F2', 'GTF2H1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'GTF3A', 'HCFC1', 'HDAC3', 'HDAC7', 'HHEX', 'HINFP', 'HMBOX1', 'HMGA1', 'HSF1', 'KAT5', 'KAT7', 'KDM2A', 'KDM5C', 'LIN52', 'LIN54', 'LMO2', 'MAX', 'MCM6', 'MED1', 'MEF2A', 'MNAT1', 'MYB', 'MYBL2', 'MYC', 'MZF1', 'NANOG', 'NELFA', 'NELFB', 'NELFCD', 'NELFE', 'NFYB', 'NFYC', 'NPM1', 'NRF1', 'POLR2A', 'POLR2B', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'POLR2H', 'POLR2I', 'POLR2K', 'POLR2L', 'PPARGC1B', 'PREB', 'RAD51', 'RAD51D', 'RBBP4', 'RUVBL1', 'RUVBL2', 'SFPQ', 'SIN3A', 'SNAPC4', 'SP1', 'SP2', 'SRF', 'SRSF2', 'SSRP1', 'STAT5A', 'STAT5B', 'SUPT16H', 'SUPT4H1', 'SUPT5H', 'TADA2A', 'TAF1', 'TBP', 'TBPL1', 'TFAM', 'TFAP4', 'TFDP1', 'TGS1', 'THAP1', 'THAP11', 'TNRC6A', 'TRRAP', 'UBTF', 'USF2', 'VHL', 'YBX1', 'YBX3', 'YY1', 'ZBTB11', 'ZBTB14', 'ZBTB17', 'ZBTB4', 'ZC3H8', 'ZNF143', 'ZNF236', 'ZNF24']
NormanWeissman2019_filtered	33	['AHR', 'CDKN1A', 'CEBPA', 'CEBPB', 'CEBPE', 'DLX2', 'EGR1', 'ETS2', 'FEV', 'FOSB', 'FOXA1', 'FOXA3', 'FOXL2', 'FOXO4', 'HNF4A', 'IKZF3', 'IRF1', 'JUN', 'KLF1', 'KMT2A', 'LYL1', 'MAML2', 'MAPK1', 'MEIS1', 'POU3F2', 'PRDM1', 'RREB1', 'SNAI1', 'SPI1', 'TBX2', 'TBX3', 'TP73', 'TSC22D1']
PapalexiSatija2021_eccite_RNA	15	['ATF2', 'BRD4', 'ETV7', 'IRF1', 'IRF7', 'JAK2', 'MYC', 'NFKBIA', 'POU2F2', 'SMAD4', 'SPI1', 'STAT1', 'STAT2', 'STAT3', 'STAT5A']
ReplogleWeissman2022_K562_essential	112	['ACTL6A', 'ARID3A', 'ASF1B', 'ATF4', 'ATF5', 'ATR', 'BRCA1', 'BRD4', 'CCND1', 'CCNH', 'CCNK', 'CDC6', 'CDK7', 'CDK9', 'CEBPZ', 'CHEK1', 'CTCF', 'CTDP1', 'CXXC1', 'DNMT1', 'E2F6', 'E4F1', 'ELL', 'ENO1', 'ERCC2', 'ERCC3', 'EWSR1', 'FOXL2', 'GABPA', 'GATA1', 'GTF2F1', 'GTF2F2', 'GTF2H1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'GTF3A', 'HCFC1', 'HDAC3', 'HDAC7', 'HINFP', 'HMGA1', 'HSF1', 'KAT5', 'KDM2A', 'LIN52', 'LIN54', 'MAX', 'MCM5', 'MED1', 'MNAT1', 'MYBL2', 'MYC', 'MZF1', 'NANOG', 'NELFA', 'NELFB', 'NELFCD', 'NELFE', 'NFYB', 'NFYC', 'NPM1', 'NRF1', 'POLR2A', 'POLR2B', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'POLR2H', 'POLR2I', 'POLR2K', 'POLR2L', 'PPARGC1B', 'RAD51', 'RAD51D', 'RBBP4', 'RBMX', 'RUVBL1', 'RUVBL2', 'SFPQ', 'SIN3A', 'SNAPC4', 'SP2', 'SRF', 'SRSF2', 'SSRP1', 'STAT5A', 'SUPT16H', 'SUPT4H1', 'SUPT5H', 'TADA2A', 'TAF1', 'TAF12', 'TBP', 'TFAM', 'TFDP1', 'TGS1', 'THAP1', 'THAP11', 'TRRAP', 'UBTF', 'USF2', 'VHL', 'YBX1', 'YY1', 'ZBTB11', 'ZBTB17', 'ZC3H8', 'ZNF236', 'ZNF24']
ReplogleWeissman2022_K562_gwps	608	['ABL1', 'ACTL6A', 'ADNP', 'AGO1', 'AGO2', 'AGO3', 'AHR', 'AIRE', 'AKT1', 'AP1', 'APC', 'APEX1', 'AR', 'ARID2', 'ARID3A', 'ARID3B', 'ARID4A', 'ARNT', 'ARNTL', 'ARX', 'ASCL1', 'ASF1B', 'ATF1', 'ATF2', 'ATF3', 'ATF4', 'ATF5', 'ATF6', 'ATF7', 'ATM', 'ATR', 'BACH1', 'BACH2', 'BATF', 'BCL11A', 'BCL11B', 'BCL6', 'BHLHE22', 'BHLHE40', 'BHLHE41', 'BRCA1', 'BRD4', 'CARM1', 'CBFB', 'CCND1', 'CCNH', 'CCNK', 'CCNT1', 'CCNT2', 'CDC6', 'CDK12', 'CDK7', 'CDK9', 'CDX1', 'CDX2', 'CEBPA', 'CEBPB', 'CEBPD', 'CEBPE', 'CEBPG', 'CEBPZ', 'CHD9', 'CHEK1', 'CLOCK', 'CREB1', 'CREB3', 'CREB3L1', 'CREB5', 'CREBBP', 'CREBZF', 'CREM', 'CRX', 'CTCF', 'CTCFL', 'CTDP1', 'CTNNB1', 'CUX1', 'CXXC1', 'DBP', 'DDIT3', 'DEAF1', 'DLX2', 'DLX3', 'DLX4', 'DLX5', 'DMTF1', 'DNMT1', 'DNMT3A', 'DNMT3B', 'E2F1', 'E2F2', 'E2F3', 'E2F4', 'E2F5', 'E2F6', 'E2F7', 'E4F1', 'EBF1', 'EGR1', 'EGR2', 'EGR3', 'EHF', 'ELF1', 'ELF3', 'ELF4', 'ELF5', 'ELK1', 'ELK3', 'ELK4', 'ELL', 'ELOA', 'ELOB', 'ENO1', 'EOMES', 'EP300', 'EPAS1', 'ERCC2', 'ERCC3', 'ERF', 'ERG', 'ESR1', 'ESR2', 'ESRRA', 'ESRRG', 'ETS1', 'ETS2', 'ETV1', 'ETV3', 'ETV4', 'ETV5', 'ETV6', 'EWSR1', 'EZH2', 'FANCD2', 'FANCI', 'FLI1', 'FOS', 'FOSB', 'FOSL1', 'FOSL2', 'FOXA1', 'FOXA2', 'FOXC2', 'FOXF2', 'FOXH1', 'FOXJ1', 'FOXJ2', 'FOXK1', 'FOXK2', 'FOXL2', 'FOXM1', 'FOXN1', 'FOXO1', 'FOXO3', 'FOXO4', 'FOXP1', 'FOXP2', 'FOXP3', 'GABPA', 'GABPB1', 'GATA1', 'GATA2', 'GATA3', 'GATA4', 'GATA5', 'GATA6', 'GFI1', 'GFI1B', 'GLI1', 'GLI2', 'GLI3', 'GRHL2', 'GRHL3', 'GTF2F1', 'GTF2F2', 'GTF2H1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'GTF2H5', 'GTF2I', 'GTF3A', 'HAND2', 'HBP1', 'HCFC1', 'HDAC1', 'HDAC2', 'HDAC3', 'HDAC5', 'HDAC7', 'HES1', 'HESX1', 'HEY1', 'HEY2', 'HHEX', 'HIC1', 'HIF1A', 'HINFP', 'HLF', 'HLX', 'HMBOX1', 'HMGA1', 'HMGA2', 'HNF1A', 'HNF1B', 'HNF4A', 'HNF4G', 'HOXA1', 'HOXA10', 'HOXA7', 'HOXA9', 'HOXB13', 'HOXB2', 'HOXB7', 'HOXD1', 'HSF1', 'HSF2', 'HSF4', 'ID1', 'ID2', 'ID3', 'IKZF1', 'IRF1', 'IRF2', 'IRF3', 'IRF4', 'IRF7', 'IRF8', 'IRF9', 'ISL1', 'JARID2', 'JDP2', 'JUN', 'JUNB', 'JUND', 'KAT2A', 'KAT2B', 'KAT5', 'KAT6A', 'KAT7', 'KDM2A', 'KDM5A', 'KDM5B', 'KDM5C', 'KLF1', 'KLF10', 'KLF11', 'KLF13', 'KLF15', 'KLF2', 'KLF3', 'KLF4', 'KLF5', 'KLF6', 'KLF8', 'KLF9', 'KMT2A', 'KMT2B', 'LEF1', 'LHX2', 'LIN37', 'LIN52', 'LIN54', 'LIN9', 'LITAF', 'LMO2', 'LMX1B', 'LRRFIP1', 'LYL1', 'MAF', 'MAFA', 'MAFB', 'MAFF', 'MAFG', 'MAFK', 'MAML1', 'MAX', 'MAZ', 'MBD1', 'MBD2', 'MCM5', 'MDC1', 'MECOM', 'MECP2', 'MED1', 'MEF2A', 'MEF2B', 'MEF2C', 'MEF2D', 'MEIS1', 'MEIS2', 'MITF', 'MLX', 'MLXIPL', 'MNAT1', 'MNT', 'MOV10', 'MSC', 'MSX1', 'MSX2', 'MTA1', 'MTA3', 'MTF1', 'MXD1', 'MXI1', 'MYB', 'MYBL1', 'MYBL2', 'MYC', 'MYCN', 'MYF5', 'MYOD1', 'MYOG', 'MZF1', 'NANOG', 'NCOA1', 'NCOA2', 'NCOA3', 'NCOA6', 'NCOR1', 'NCOR2', 'NELFA', 'NELFB', 'NELFCD', 'NELFE', 'NEUROD1', 'NEUROD2', 'NEUROD6', 'NFAT5', 'NFATC1', 'NFATC2', 'NFATC3', 'NFATC4', 'NFE2', 'NFE2L1', 'NFE2L2', 'NFIA', 'NFIB', 'NFIC', 'NFIL3', 'NFKB1', 'NFKB2', 'NFKBIA', 'NFKBIB', 'NFYA', 'NFYB', 'NFYC', 'NKX2-1', 'NKX2-5', 'NKX3-1', 'NONO', 'NOTO', 'NPAS2', 'NPM1', 'NR0B1', 'NR1H2', 'NR1H3', 'NR1H4', 'NR1I2', 'NR1I3', 'NR2C1', 'NR2C2', 'NR2E1', 'NR2F1', 'NR2F2', 'NR2F6', 'NR3C1', 'NR3C2', 'NR4A1', 'NR4A2', 'NR4A3', 'NR5A1', 'NR5A2', 'NRF1', 'NRL', 'ONECUT1', 'OTX2', 'OVOL1', 'PARK7', 'PARP1', 'PAX2', 'PAX3', 'PAX5', 'PAX6', 'PAX8', 'PBX1', 'PBX2', 'PBX3', 'PDX1', 'PGR', 'PITX1', 'PITX2', 'PKNOX1', 'PLAGL1', 'PML', 'POLE3', 'POLR2A', 'POLR2B', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'POLR2H', 'POLR2I', 'POLR2K', 'POLR2L', 'POU1F1', 'POU2F1', 'POU2F2', 'POU3F2', 'POU4F1', 'POU4F2', 'POU5F1', 'PPARA', 'PPARD', 'PPARG', 'PPARGC1B', 'PRDM1', 'PRDM14', 'PROX1', 'PURA', 'RAD51', 'RAD51D', 'RARA', 'RARB', 'RARG', 'RB1', 'RBBP4', 'RBL1', 'RBL2', 'RBMX', 'RBPJ', 'REL', 'RELA', 'RELB', 'REST', 'RFX1', 'RFX2', 'RFX5', 'RORA', 'RUNX1', 'RUNX2', 'RUNX3', 'RUVBL1', 'RUVBL2', 'RXRA', 'RXRB', 'SALL4', 'SATB1', 'SATB2', 'SFPQ', 'SIM2', 'SIN3A', 'SIRT1', 'SIX2', 'SIX5', 'SMAD1', 'SMAD2', 'SMAD3', 'SMAD4', 'SMAD5', 'SMAD6', 'SMARCA1', 'SMARCA5', 'SMARCC1', 'SMARCD3', 'SNAI1', 'SNAI2', 'SNAPC4', 'SOX10', 'SOX11', 'SOX13', 'SOX17', 'SOX2', 'SOX4', 'SOX6', 'SOX9', 'SP1', 'SP2', 'SP3', 'SP4', 'SP7', 'SPI1', 'SPIB', 'SREBF1', 'SREBF2', 'SRF', 'SRSF2', 'SRY', 'SSRP1', 'STAT1', 'STAT2', 'STAT3', 'STAT4', 'STAT5A', 'STAT5B', 'STAT6', 'SUPT16H', 'SUPT4H1', 'SUPT5H', 'TADA2A', 'TAF1', 'TAF12', 'TAF9', 'TAL1', 'TBL1X', 'TBL1XR1', 'TBP', 'TBPL1', 'TBPL2', 'TBX15', 'TBX2', 'TBX21', 'TBX3', 'TBX5', 'TCEA1', 'TCF12', 'TCF3', 'TCF4', 'TCF7', 'TCF7L2', 'TEAD1', 'TEAD2', 'TEAD4', 'TEF', 'TET1', 'TFAM', 'TFAP2A', 'TFAP2B', 'TFAP2C', 'TFAP4', 'TFCP2', 'TFDP1', 'TFDP2', 'TFDP3', 'TFE3', 'TGIF2', 'TGS1', 'THAP1', 'THAP11', 'THRA', 'THRB', 'TNRC6A', 'TNRC6B', 'TNRC6C', 'TP53', 'TP53BP2', 'TP63', 'TP73', 'TRIM28', 'TRPS1', 'TRRAP', 'TSC22D1', 'TTF1', 'TWIST1', 'TWIST2', 'UBTF', 'USF1', 'USF2', 'VDR', 'VHL', 'VSX2', 'WT1', 'XBP1', 'YBX1', 'YBX3', 'YY1', 'ZBED1', 'ZBTB11', 'ZBTB16', 'ZBTB17', 'ZBTB33', 'ZBTB4', 'ZBTB7A', 'ZC3H8', 'ZEB1', 'ZEB2', 'ZFP42', 'ZFPM1', 'ZFX', 'ZGLP1', 'ZHX1', 'ZHX2', 'ZIC1', 'ZKSCAN1', 'ZKSCAN7', 'ZNF143', 'ZNF148', 'ZNF197', 'ZNF217', 'ZNF236', 'ZNF24', 'ZNF263', 'ZNF274', 'ZNF331', 'ZNF350', 'ZNF362', 'ZNF382', 'ZNF384', 'ZNF584', 'ZNF592', 'ZNF639', 'ZNF644', 'ZNF699', 'ZNF740', 'ZNF76', 'ZNF91']
ReplogleWeissman2022_rpe1	139	['ACTL6A', 'ARID3A', 'ATF4', 'ATF5', 'ATR', 'BCLAF1', 'BRCA1', 'BRD4', 'BTF3', 'CCND1', 'CCNH', 'CCNK', 'CDC6', 'CDK12', 'CDK7', 'CDK9', 'CEBPG', 'CEBPZ', 'CHEK1', 'CLOCK', 'CTBP2', 'CTCF', 'CTDP1', 'CXXC1', 'DNMT1', 'E2F6', 'E4F1', 'ELL', 'ELOB', 'ENO1', 'ERCC2', 'ERCC3', 'ETV4', 'EWSR1', 'FOXL2', 'FOXO1', 'GABPA', 'GABPB1', 'GATA1', 'GTF2F1', 'GTF2F2', 'GTF2H1', 'GTF2H2', 'GTF2H3', 'GTF2H4', 'GTF3A', 'HCFC1', 'HDAC3', 'HDAC7', 'HHEX', 'HINFP', 'HMBOX1', 'HMGA1', 'HSF1', 'KAT5', 'KAT7', 'KDM2A', 'KDM5C', 'KLF7', 'LIN52', 'LIN54', 'LMO2', 'MAX', 'MED1', 'MEF2A', 'MNAT1', 'MYB', 'MYBL2', 'MYC', 'MZF1', 'NANOG', 'NELFA', 'NELFB', 'NELFCD', 'NELFE', 'NF1', 'NFYB', 'NFYC', 'NPM1', 'NRF1', 'POLR2A', 'POLR2B', 'POLR2C', 'POLR2D', 'POLR2E', 'POLR2F', 'POLR2G', 'POLR2H', 'POLR2I', 'POLR2K', 'POLR2L', 'PPARGC1B', 'PREB', 'RAD51', 'RAD51D', 'RBBP4', 'RBMX', 'RUVBL1', 'RUVBL2', 'SFPQ', 'SIN3A', 'SMARCC1', 'SNAPC4', 'SNW1', 'SP1', 'SP2', 'SRF', 'SRSF2', 'SSRP1', 'STAT5A', 'STAT5B', 'SUPT16H', 'SUPT4H1', 'SUPT5H', 'TADA2A', 'TAF1', 'TBP', 'TBPL1', 'TFAM', 'TFAP4', 'TFDP1', 'TGS1', 'THAP1', 'THAP11', 'TNRC6A', 'TRRAP', 'UBTF', 'USF2', 'VHL', 'YBX1', 'YBX3', 'YY1', 'ZBTB11', 'ZBTB17', 'ZBTB4', 'ZC3H8', 'ZNF143', 'ZNF236', 'ZNF24']
SunshineHein2023	23	['ATF4', 'ATF6', 'BCL2', 'BRD4', 'BTF3', 'HDAC2', 'IRF3', 'IRF9', 'JAK1', 'MOV10', 'NFKBIA', 'NRIP1', 'POLR2B', 'RELA', 'RELB', 'SIRT1', 'SMAD3', 'SREBF1', 'SREBF2', 'STAT1', 'STAT2', 'TYK2', 'XBP1']
