source	interaction	target
A1BG	downregulates-expression	A2M
A2M	upregulates-expression	STAT3
AATF	downregulates-expression	BAX
AATF	downregulates-expression	CTNNB1
AATF	upregulates-expression	MYC
ABCA1	downregulates-expression	GLI2
ABCA1	upregulates-expression	NR1H2
ABCA1	upregulates-expression	NR1H3
ABCA1	downregulates-expression	SREBF2
ABCA3	upregulates-expression	CEBPA
ABCA3	upregulates-expression	FOXA2
ABCA3	upregulates-expression	GATA6
ABCA3	upregulates-expression	NFATC3
ABCA3	upregulates-expression	NKX2-1
ABCA3	upregulates-expression	SREBF1
ABCB1	upregulates-expression	CEBPB
ABCB1	upregulates-expression	CTNNB1
ABCB1	upregulates-expression	EGR1
ABCB1	upregulates-expression	FOXO1
ABCB1	upregulates-expression	HIF1A
ABCB1	upregulates-expression	NFKB1
ABCB1	upregulates-expression	RELA
ABCB1	upregulates-expression	RELB
ABCB1	upregulates-expression	SP1
ABCB1	upregulates-expression	TCF7L2
ABCG1	upregulates-expression	NR1H2
ABCG1	upregulates-expression	NR1H3
ABCG5	upregulates-expression	NR1H2
ABCG5	upregulates-expression	NR1H3
ABCG8	upregulates-expression	NR1H2
ABCG8	upregulates-expression	NR1H3
ABL1	upregulates-expression	BAX
ABL1	downregulates-expression	BCL2
ABL1	downregulates-expression	BCL6
ABL1	upregulates-expression	CCND2
ABL1	upregulates-expression	CDKN1A
ABL1	upregulates-expression	CSF1
ABL1	upregulates-expression	FOXO3
ABL1	upregulates-expression	JUN
ABL1	upregulates-expression	PIM1
ABL1	upregulates-expression	TP53
ACACA	upregulates-expression	SREBF1
ACADSB	upregulates-expression	FOXO1
ACAT2	upregulates-expression	SREBF1
ACE	upregulates-expression	EGR1
ACLY	upregulates-expression	SREBF1
ACLY	upregulates-expression	SREBF2
ACTA2	downregulates-expression	RBPJ
ACTL6A	upregulates-expression	CAD
ACTL6A	upregulates-expression	GPAM
ACTL6A	upregulates-expression	HSPD1
ACTL6A	upregulates-expression	NCL
ACTL6A	upregulates-expression	NME1
ACTL6A	upregulates-expression	PTMA
ADAM2	downregulates-expression	CTNNB1
ADAM2	downregulates-expression	LEF1
ADCY7	upregulates-expression	INCENP
ADD3	upregulates-expression	GLI2
ADH1A	upregulates-expression	CEBPB
ADH1A	upregulates-expression	DBP
ADH1A	upregulates-expression	HNF1A
ADH1B	upregulates-expression	CEBPA
ADH1B	upregulates-expression	CEBPB
ADH1B	upregulates-expression	DBP
ADH1C	upregulates-expression	CEBPB
ADH1C	upregulates-expression	DBP
ADIRF	upregulates-expression	PPARG
ADM	upregulates-expression	HIF1A
ADNP	upregulates-expression	ATF7IP
ADNP	upregulates-expression	BECN1
ADNP	upregulates-expression	DYRK1A
ADNP	upregulates-expression	TLK1
ADNP	upregulates-expression	ZMYM4
ADNP2	upregulates-expression	HBB
AEBP1	upregulates-expression	APOE
AEBP1	upregulates-expression	CD36
AEBP1	downregulates-expression	FABP4
AEBP1	upregulates-expression	TFAP2A
AEBP1	upregulates-expression	TNF
AEBP2	downregulates-expression	FABP4
AES	upregulates-expression	LEF1
AES	upregulates-expression	RND3
AGAP2	upregulates-expression	CCND1
AGO1	downregulates-expression	CDKN2A
AGO1	downregulates-expression	CHD1
AGO1	downregulates-expression	GREB1
AGO1	downregulates-expression	KPNA2
AGO1	downregulates-expression	MECP2
AGO1	downregulates-expression	MYC
AGO1	downregulates-expression	NLK
AGO1	downregulates-expression	NOTCH1
AGO1	downregulates-expression	NOTCH2
AGO1	downregulates-expression	NOTCH3
AGO1	downregulates-expression	NOTCH4
AGO1	downregulates-expression	PTEN
AGO1	downregulates-expression	RUNX1
AGO2	downregulates-expression	CHD1
AGO2	downregulates-expression	GREB1
AGO2	downregulates-expression	KPNA2
AGO2	downregulates-expression	MECP2
AGO2	downregulates-expression	MYC
AGO2	downregulates-expression	NLK
AGO2	downregulates-expression	NOTCH1
AGO2	downregulates-expression	NOTCH2
AGO2	downregulates-expression	NOTCH3
AGO2	downregulates-expression	NOTCH4
AGO2	downregulates-expression	PTEN
AGO2	downregulates-expression	RUNX1
AGO3	downregulates-expression	CDKN2A
AGO3	downregulates-expression	CHD1
AGO3	downregulates-expression	GREB1
AGO3	downregulates-expression	KPNA2
AGO3	downregulates-expression	MECP2
AGO3	downregulates-expression	MYC
AGO3	downregulates-expression	NLK
AGO3	downregulates-expression	NOTCH1
AGO3	downregulates-expression	NOTCH2
AGO3	downregulates-expression	NOTCH3
AGO3	downregulates-expression	NOTCH4
AGO3	downregulates-expression	PTEN
AGO3	downregulates-expression	RUNX1
AGO4	downregulates-expression	CDKN2A
AGO4	downregulates-expression	CHD1
AGO4	downregulates-expression	GREB1
AGO4	downregulates-expression	KPNA2
AGO4	downregulates-expression	MECP2
AGO4	downregulates-expression	MYC
AGO4	downregulates-expression	NLK
AGO4	downregulates-expression	NOTCH1
AGO4	downregulates-expression	NOTCH2
AGO4	downregulates-expression	NOTCH3
AGO4	downregulates-expression	NOTCH4
AGO4	downregulates-expression	PTEN
AGO4	downregulates-expression	RUNX1
AGRP	upregulates-expression	FOXO1
AGTR1	upregulates-expression	ANGPT2
AHR	upregulates-expression	ABCA4
AHR	upregulates-expression	ABCB1
AHR	upregulates-expression	ABCB6
AHR	upregulates-expression	ABCC2
AHR	upregulates-expression	ABCC3
AHR	upregulates-expression	ABCC4
AHR	upregulates-expression	ABCC5
