Dataset	TF	Top_Method	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Method	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
FrangiehIzar2021_RNA	STAT1	ulm	0.684074026875197	1.1713496824871356e-62	True	56968	707	56261	zscore	0.6797277198182737	9.032040671745449e-60	True	0.004346307056923293	2.479878872814647	0.013142702069028345	0.05914215931062755	True
FrangiehIzar2021_RNA	MYC	z-aggregate	0.6189287668429526	8.121705065382352e-08	True	56446	185	56261	zscore	0.61372435516514	1.940361419511955e-07	True	0.005204411677812604	0.6141743066815818	0.5391001498203478	0.8086502247305217	False
FrangiehIzar2021_RNA	JAK2	zscore	0.5918427858253686	1.523717310406033e-24	True	57348	1087	56261	ulm	0.591041748564856	3.923897638671708e-24	True	0.0008010372605126159	3.325095831603941	0.0008838814849725275	0.007954933364752748	True
FrangiehIzar2021_RNA	SMAD4	ulm	0.585956382542375	4.277628338138422e-13	True	56889	628	56261	zscore	0.5856096138368752	5.360189604813573e-13	True	0.00034676870549987804	0.3263524656964362	0.7441576972516557	0.8371774094081127	False
FrangiehIzar2021_RNA	JAK1	ulm	0.5513511072761708	7.928950630647308e-08	True	57251	990	56261	zscore	0.5513511072761708	7.928950630647308e-08	True	0.0	0.0	1.0	1.0	False
FrangiehIzar2021_RNA	TP53	ulm	0.5488920447284469	0.00014594938485477756	True	56809	548	56261	z-aggregate	0.5469747554314439	0.00027524302905136385	True	0.0019172892970029665	0.33745738360624833	0.7357721328763777	0.8371774094081127	False
FrangiehIzar2021_RNA	CDKN2A	z-aggregate	0.5340472095733007	0.000905990785940061	True	57126	865	56261	viper	0.5314775386763159	0.002293628110950302	True	0.002569670896984788	0.7628550889850166	0.44554982278812805	0.8019896810186304	False
FrangiehIzar2021_RNA	SMAD3	ulm	0.5291336682751785	0.011772148821637995	True	56972	711	56261	zscore	0.5280565355795651	0.013770914225483906	True	0.0010771326956133809	1.0486357585017443	0.2943457915222387	0.6622780309250371	False
FrangiehIzar2021_RNA	STAT3	ulm	0.5268473761090761	0.04084206434228116	True	56789	528	56261	zscore	0.5243109024336251	0.06611412056562935	True	0.0025364736754509565	1.3809408604824527	0.16729714513609883	0.5018914354082965	False
GasperiniShendure2019_lowMOI	MAX	ulm	0.7482685937970491	0.0669725743862774	True	378	9	369	zscore	0.7434507678410117	0.04095105386694521	True	0.004817825956037414	0.3581184589092944	0.7202546657156969	0.7202546657156969	False
