Dataset	TF	Comparison_Type	N_Available_Priors	N_MWU_Significant_Options	Top_Prior	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Prior	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
FrangiehIzar2021_RNA	STAT1	top2_delong	3	3	collectri	0.7357080219698415	2.598836601727641e-102	True	56968	707	56261	causalpath	0.6650515264945077	1.5799571048742026e-50	True	0.07065649547533381	7.637221822928987	2.2195891074884348e-14	8.878356429953739e-14	True
FrangiehIzar2021_RNA	JAK2	single_available_significant	1	1	causalpath	0.6161416546128721	1.0927735141144597e-38	True	57348	1087	56261				False					True
FrangiehIzar2021_RNA	MYC	top2_delong	3	2	dorothea	0.5930086464773014	3.945677015728066e-05	True	56446	185	56261	collectri	0.5907773470845581	5.536164762418269e-05	True	0.0022312993927433578	0.2590027099563721	0.7956331495806482	0.8609137894098505	False
FrangiehIzar2021_RNA	SMAD3	top2_delong	3	3	collectri	0.5612586565662634	7.979599005946198e-08	True	56972	711	56261	causalpath	0.5456203457609202	7.756786709733619e-05	True	0.01563831080534317	1.4409474593935	0.1495995267392555	0.299199053478511	False
FrangiehIzar2021_RNA	JAK1	single_available_significant	1	1	causalpath	0.547346117185793	1.117431999799303e-06	True	57251	990	56261				False					True
FrangiehIzar2021_RNA	SMAD4	top2_delong	3	2	dorothea	0.5358974669581954	0.0031554764075543457	True	56889	628	56261	causalpath	0.5336393522817957	0.008104197627069572	True	0.0022581146763996918	0.17521106601878483	0.8609137894098505	0.8609137894098505	False
FrangiehIzar2021_RNA	TSC22D3	single_available_significant	1	1	causalpath	0.5279405801113615	0.023264863010700496	True	56932	671	56261				False					True
NadigOConner2024_hepg2	RUVBL2	single_available_significant	1	1	causalpath	0.9183354696813689	3.258141093199405e-13	True	4952	29	4923				False					True
NadigOConner2024_hepg2	RUVBL1	single_available_significant	1	1	causalpath	0.8295393504412396	3.7401792745613003e-13	True	4968	45	4923				False					True
NadigOConner2024_hepg2	MYC	top2_delong	3	3	collectri	0.8219308114189284	4.898328793719213e-14	True	4975	52	4923	dorothea	0.8078524664447881	4.049717867432545e-13	True	0.014078344974140289	1.268592068057718	0.20458659479313568	0.2736669570176368	False
NadigOConner2024_hepg2	POLR2A	single_available_significant	1	1	causalpath	0.7856997765590088	1.3456403026713227e-05	True	4945	22	4923				False					True
NadigOConner2024_hepg2	ATF4	top2_delong	3	3	dorothea	0.7614813583734973	0.00014994235529030837	True	4945	22	4923	causalpath	0.6765091500009234	0.008633104327168848	True	0.08497220837257391	1.2657205243499714	0.20561315753565923	0.2736669570176368	False
NadigOConner2024_hepg2	TRRAP	single_available_significant	1	1	causalpath	0.7496743974859902	0.0009836313115804034	True	4940	17	4923				False					True
NadigOConner2024_hepg2	SUPT5H	single_available_significant	1	1	causalpath	0.7475116798699979	0.0010362342930132096	True	4940	17	4923				False					True
NadigOConner2024_hepg2	POLR2G	single_available_significant	1	1	causalpath	0.7358095927280114	1.4066682437255663e-05	True	4955	32	4923				False					True
NadigOConner2024_hepg2	KAT5	top2_delong	2	1	causalpath	0.7215789830049427	0.07594396729163515	True	4929	6	4923	collectri	0.6075902227638974	0.4382135144211688	False	0.11398876024104532	1.2777849056820056	0.20132527801263467	0.2736669570176368	False
NadigOConner2024_hepg2	POLR2H	single_available_significant	1	1	causalpath	0.7209141998904339	3.503297730245915e-05	True	4956	33	4923				False					True
NadigOConner2024_hepg2	POLR2C	single_available_significant	1	1	causalpath	0.7159147422023296	8.236306178923073e-08	True	4981	58	4923				False					True
NadigOConner2024_hepg2	SUPT4H1	single_available_significant	1	1	causalpath	0.7063056788833754	0.07594396729163515	True	4930	7	4923				False					True
NadigOConner2024_hepg2	GTF2H1	single_available_significant	1	1	causalpath	0.7031862104988248	1.770886001681173e-05	True	4965	42	4923				False					True
NadigOConner2024_hepg2	POLR2F	single_available_significant	1	1	causalpath	0.7012138836821223	7.163936688521984e-09	True	5002	79	4923				False					True
NadigOConner2024_hepg2	POLR2I	single_available_significant	1	1	causalpath	0.6949870104878284	3.291244645390417e-13	True	5056	133	4923				False					True
NadigOConner2024_hepg2	ZBTB4	single_available_significant	1	1	collectri	0.6923226381933957	0.01120254138570606	True	4946	23	4923				False					True
