Dataset	TF	Comparison_Type	N_Available_Priors	N_MWU_Significant_Options	Top_Prior	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Prior	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
FrangiehIzar2021_RNA	STAT1	top2_delong	3	3	collectri	0.7357080219698415	2.598836601727641e-102	True	56968	707	56261	causalpath	0.6650515264945077	1.5799571048742026e-50	True	0.07065649547533381	7.637221822928987	2.2195891074884348e-14	8.878356429953739e-14	True
FrangiehIzar2021_RNA	MYC	top2_delong	3	2	dorothea	0.5930086464773014	3.945677015728066e-05	True	56446	185	56261	collectri	0.5907773470845581	5.536164762418269e-05	True	0.0022312993927433578	0.2590027099563721	0.7956331495806482	0.8609137894098505	False
FrangiehIzar2021_RNA	SMAD3	top2_delong	3	3	collectri	0.5612586565662634	7.979599005946198e-08	True	56972	711	56261	causalpath	0.5456203457609202	7.756786709733619e-05	True	0.01563831080534317	1.4409474593935	0.1495995267392555	0.299199053478511	False
FrangiehIzar2021_RNA	SMAD4	top2_delong	3	2	dorothea	0.5358974669581954	0.0031554764075543457	True	56889	628	56261	causalpath	0.5336393522817957	0.008104197627069572	True	0.0022581146763996918	0.17521106601878483	0.8609137894098505	0.8609137894098505	False
NadigOConner2024_hepg2	MYC	top2_delong	3	3	collectri	0.8219308114189284	4.898328793719213e-14	True	4975	52	4923	dorothea	0.8078524664447881	4.049717867432545e-13	True	0.014078344974140289	1.268592068057718	0.20458659479313568	0.29191142081881266	False
NadigOConner2024_hepg2	ATF4	top2_delong	3	3	dorothea	0.7614813583734973	0.00014994235529030837	True	4945	22	4923	causalpath	0.6765091500009234	0.008633104327168848	True	0.08497220837257391	1.2657205243499714	0.20561315753565923	0.29191142081881266	False
NadigOConner2024_hepg2	NRF1	top2_delong	3	2	causalpath	0.6711625702484936	0.0028574851885546895	True	4953	30	4923	dorothea	0.6054032094251472	0.09240158450203441	True	0.06575936082334632	1.2293687919726581	0.21893356561410948	0.29191142081881266	False
NadigOConner2024_hepg2	SRF	top2_delong	3	3	dorothea	0.6490700981156319	0.0025392844362169646	True	4966	43	4923	collectri	0.6185252894576477	0.031867507761179026	True	0.030544808657984146	0.839405730044563	0.40124166948753615	0.4161955485950073	False
NadigOConner2024_hepg2	MYBL2	top2_delong	3	3	causalpath	0.6269327048308659	1.7339925847262823e-06	True	5059	136	4923	collectri	0.5750364435841369	0.01813497763413419	True	0.05189626124672908	2.2180513379593556	0.026551332216859194	0.08394683947035342	True
NadigOConner2024_hepg2	MAX	top2_delong	3	1	causalpath	0.6171124201593428	0.012156020897136676	True	4968	45	4923	dorothea	0.5243415261696798	0.637172980335062	False	0.09277089398966298	1.8996007015520777	0.05748554009893444	0.13246695495570537	False
NadigOConner2024_hepg2	HSF1	top2_delong	3	1	dorothea	0.6133010867357302	0.05980738943301623	True	4955	32	4923	collectri	0.49845749542961604	0.8363772704439657	False	0.11484359130611421	2.1975347173940873	0.027982279823451136	0.08394683947035342	True
NadigOConner2024_hepg2	GABPA	top2_delong	3	1	collectri	0.605807484034621	0.009720386868226679	True	5005	82	4923	dorothea	0.5426767338971379	0.28358790599604283	False	0.06313075013748315	1.8368402808898854	0.06623347747785269	0.13246695495570537	False
NadigOConner2024_hepg2	SP1	top2_delong	3	1	collectri	0.5913588747226772	0.03037058878107664	True	5000	77	4923	causalpath	0.5378860424564263	0.24770840426680435	False	0.05347283226625088	2.2271906343196086	0.025934535800284483	0.08394683947035342	True
NadigOConner2024_hepg2	TFDP1	top2_delong	3	1	dorothea	0.5810797085934198	0.0025392844362169646	True	5071	148	4923	collectri	0.539243539700578	0.19173983664015337	False	0.04183616889284181	2.4666365560500823	0.013638871255408008	0.08394683947035342	True
