Dataset	TF	Comparison_Type	N_Available_Priors	N_MWU_Significant_Options	Top_Prior	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Prior	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
FrangiehIzar2021_RNA	STAT1	top2_delong	4	4	collectri	0.7357080219698415	2.598836601727641e-102	True	56968	707	56261	causalpath	0.6650515264945077	1.5799571048742026e-50	True	0.07065649547533381	7.637221822928987	2.2195891074884348e-14	1.5537123752419044e-13	True
FrangiehIzar2021_RNA	JAK2	top2_delong	2	2	causalpath	0.6161416546128721	1.0927735141144597e-38	True	57348	1087	56261	ensemble	0.6161416546128721	1.2710659981925027e-38	True	0.0	0.0	1.0	1.0	False
FrangiehIzar2021_RNA	MYC	top2_delong	4	3	dorothea	0.5930086464773014	3.945677015728066e-05	True	56446	185	56261	collectri	0.5907773470845581	5.536164762418269e-05	True	0.0022312993927433578	0.2590027099563721	0.7956331495806482	1.0	False
FrangiehIzar2021_RNA	SMAD3	top2_delong	4	4	collectri	0.5612586565662634	7.979599005946198e-08	True	56972	711	56261	ensemble	0.554619767308639	1.669940190906321e-06	True	0.0066388892576243475	1.2087788697422384	0.22674781159605373	0.793617340586188	False
FrangiehIzar2021_RNA	JAK1	top2_delong	2	2	causalpath	0.547346117185793	1.117431999799303e-06	True	57251	990	56261	ensemble	0.547346117185793	1.2698090906810262e-06	True	0.0	0.0	1.0	1.0	False
FrangiehIzar2021_RNA	SMAD4	top2_delong	4	2	dorothea	0.5358974669581954	0.0031554764075543457	True	56889	628	56261	causalpath	0.5336393522817957	0.008104197627069572	True	0.0022581146763996918	0.17521106601878483	0.8609137894098505	1.0	False
FrangiehIzar2021_RNA	TSC22D3	top2_delong	2	2	causalpath	0.5279405801113615	0.023264863010700496	True	56932	671	56261	ensemble	0.5279405801113615	0.02643734433034147	True	0.0	0.0	1.0	1.0	False
NadigOConner2024_hepg2	RUVBL2	top2_delong	2	2	causalpath	0.9183354696813689	3.258141093199405e-13	True	4952	29	4923	ensemble	0.9183354696813689	5.176824181416832e-13	True	0.0	0.0	1.0	1.0	False
NadigOConner2024_hepg2	RUVBL1	top2_delong	2	2	causalpath	0.8295393504412396	3.7401792745613003e-13	True	4968	45	4923	ensemble	0.8295393504412396	5.942729291802955e-13	True	0.0	0.0	1.0	1.0	False
NadigOConner2024_hepg2	MYC	top2_delong	4	4	collectri	0.8219308114189284	4.898328793719213e-14	True	4975	52	4923	dorothea	0.8078524664447881	4.049717867432545e-13	True	0.014078344974140289	1.268592068057718	0.20458659479313568	0.7598930663745039	False
