Dataset	TF	z-aggregate_MWU-pvalue	z-aggregate_MWU-adjusted-pvalue	z-aggregate_ROC-AUC	viper_MWU-pvalue	viper_MWU-adjusted-pvalue	viper_ROC-AUC	ulm_MWU-pvalue	ulm_MWU-adjusted-pvalue	ulm_ROC-AUC	zscore_MWU-pvalue	zscore_MWU-adjusted-pvalue	zscore_ROC-AUC	Top, Second	DeLongs-pvalue	DeLongs-adjusted-pvalue	Winner
NadigOConner2024_hepg2	ACTL6A	0.1834991496004067	0.3370392543680939	0.5869050037240164	0.2932745466900446	0.5075905615789233	0.5523957839619023	0.205812455963151	0.3858983549309082	0.5790958539282731	0.205812455963151	0.3780228782996652	0.5790958539282731				
NadigOConner2024_jurkat	ACTL6A	4.629852816964324e-06	7.870749788839351e-05	0.9268238123199956	0.0001290107828094	0.0018276527564665	0.8517741800184547	3.664046824516004e-06	6.228879601677207e-05	0.9316518934839544	3.664046824516004e-06	6.228879601677207e-05	0.9316518934839544	ulm, zscore	1.0	1.0	
ReplogleWeissman2022_K562_essential	ACTL6A	0.3680662634101385	0.6911808723186602	0.5133968289976925	0.4970030916985309	0.7653847612157377	0.5002995189973025	0.6735310787809455	0.9251412300389404	0.4821245644568426	0.6735310787809455	0.8945628576063837	0.4821245644568426				
ReplogleWeissman2022_K562_gwps	ACTL6A	0.150781434330971	0.5011265317470509	0.5388415334309342	0.2007273198990287	0.5532240767948842	0.5315453224859362	0.5662604883253202	0.853165802410149	0.4937265533694434	0.5662604883253202	0.85194737878731	0.4937265533694434				
ReplogleWeissman2022_rpe1	ACTL6A	0.0918217734277343	0.1541912799069501	0.5991763778147726	0.1681003173658916	0.2579470387166268	0.5717339875580478	0.0917701521967505	0.1512508063983481	0.5991997429831479	0.0917701521967505	0.1601479126570745	0.5991997429831479				
ReplogleWeissman2022_K562_gwps	AGO1	0.3062549775439046	0.7062614788257392	0.5114298929627371	0.3373490514737127	0.6868548255230548	0.5094714657191469	0.3320093391500841	0.7284865111448448	0.5098023512567766	0.3261642729567601	0.6756608631282076	0.5101669872826853				
ReplogleWeissman2022_K562_gwps	AGO2	0.663068819405631	0.879855710281378	0.4812485042264577	0.7392975711854646	0.9109777113491266	0.4714314433137725	0.7880197258439413	0.9567958400840336	0.4643742640794172	0.822933609346536	0.9705182213284496	0.4587140974462558				
ReplogleWeissman2022_K562_gwps	AGO3	0.0269104858652584	0.1737648515870974	0.5408662676290261	0.0931712577846047	0.4386813387358472	0.5280063465574897	0.1214824871386837	0.4775320677180016	0.5247453775257792	0.0987225401569369	0.4131721125086622	0.5273152001060641				
NormanWeissman2019_filtered	AHR	0.0106776492077397	0.0213552984154794	0.5288087168533523	0.3654583256551822	0.4497948623448397	0.5043051954751037	0.61656000482579	0.7046400055151886	0.4962889245527083	0.61656000482579	0.7046400055151886	0.4962889245527083	z-aggregate, viper	0.0003347185070303	0.0005206732331583	z-aggregate
ReplogleWeissman2022_K562_gwps	AKT1	0.445415843678867	0.7886027772090635	0.5026279345082535	0.4413769867764364	0.810985357816867	0.5028238525013197	0.4336810855441582	0.795888275585157	0.5031978189795335	0.4353290579013061	0.7647139733129406	0.5031176413190048				
ReplogleWeissman2022_K562_gwps	APC	0.194712797571907	0.5790143717269868	0.5131809394668543	0.3606999163181354	0.7088537485904226	0.5054611431116707	0.1435871112025595	0.5128379885779304	0.5163003135986016	0.0230198516024515	0.1625777019423144	0.5305537238684256				
GasperiniShendure2019_lowMOI	APEX1	0.607268110681119	0.7176804944413224	0.4779028559516365	0.5629497284173672	0.7308779376435055	0.4871794871794872	0.6339980216972416	0.8174771374695812	0.4721701063164477	0.6339980216972416	0.8241974282064141	0.4721701063164477				
TianKampmann2021_CRISPRi	APEX1	0.0460820624187425	0.1382461872562276	0.5415623785464438	0.060142955978833	0.180428867936499	0.5422619510299261	0.0529986077301526	0.158995823190458	0.5439720171006608	0.0529986077301526	0.158995823190458	0.5439720171006608				
ReplogleWeissman2022_K562_gwps	AR	0.0497696782837777	0.2499543842696395	0.5292601897286575	0.0903779831994681	0.4386813387358472	0.5237769227948754	0.1350537764730303	0.5003631718508992	0.5195912602934055	0.0073445770106854	0.0790416383054724	0.5433451971693687	zscore, z-aggregate	0.2055723815633577	0.6286359597189406	
ReplogleWeissman2022_K562_gwps	ARNT	0.0022039494558237	0.0292995633538924	0.5852882070614819	0.0110870118373217	0.1002265870093885	0.568513927047734	0.0021472898327069	0.02854632365834	0.5855362185383175	0.0017191084034092	0.0242824061981555	0.5876299772524046	zscore, ulm	0.5373887751616075	0.9443843250080984	
ReplogleWeissman2022_K562_gwps	ARNTL	0.9752005231081476	0.99999988097155	0.4651370620758889	0.9930358500343918	0.99998213924301	0.4563145910011013	0.9932987116488384	0.999996985483837	0.4560697618845925	0.9932987116488384	0.99999607242354	0.4560697618845925				
NadigOConner2024_hepg2	ASF1B	0.9605430381606348	0.9966961233902358	0.4241948224885458	0.9750359066397352	0.9949179113747584	0.4152391270002482	0.9804587148649836	0.999967658746436	0.4107973909314555	0.9804587148649836	0.9998294649312244	0.4107973909314555				
NadigOConner2024_jurkat	ASF1B	0.3951227767697035	0.6106442913713599	0.5080247498933195	0.4404172904109791	0.6454391324988487	0.5045298213237145	0.4176243973063104	0.6771416739016753	0.506284124106892	0.4176243973063104	0.6771416739016753	0.506284124106892				
ReplogleWeissman2022_K562_essential	ASF1B	0.6238922406759462	0.857851830929426	0.494523067772431	0.3959275194922489	0.6774759777978482	0.5045887272314491	0.4553406098058661	0.8153773710477139	0.5019506654567253	0.4553406098058661	0.8313085811442766	0.5019506654567253				
ReplogleWeissman2022_K562_gwps	ASF1B	0.2391367589676785	0.6433917562701827	0.5078239979979826	0.1494060661671211	0.4706182202652739	0.5115710005560501	0.1943344865934023	0.5551848384068339	0.5096003338277099	0.1943344865934023	0.5908814566976147	0.5096003338277099				
PapalexiSatija2021_eccite_RNA	ATF2	0.9587056862517052	0.9587056862517052	0.4817465919618829	0.699133453082884	0.7637955128130852	0.4945119975416183	0.8173610181329788	0.8173610181329788	0.490479856026458	0.8118121511275002	0.8205553888899784	0.490698159104151				
ReplogleWeissman2022_K562_gwps	ATF2	0.2782005724630264	0.6834057540939562	0.5124324831819382	0.2547569917920391	0.603502272722088	0.5139416204609688	0.0620170241763168	0.3259499410197118	0.5325093770123354	0.079960842497993	0.3844925617988603	0.5297040314971578				
ReplogleWeissman2022_K562_gwps	ATF3	0.8882733447193938	0.9954610858195412	0.479896628400517	0.9110627571389398	0.9955498437384808	0.4777200960573646	0.9245225708944842	0.999996985483837	0.4762510297960904	0.8249921153231085	0.9705182213284496	0.484545810104068				
NadigOConner2024_hepg2	ATF4	0.0641261161368183	0.1479833449311192	0.5938359832326926	0.0382570745143827	0.1140785741750661	0.609273724447399	0.0401473200255667	0.1129143375719064	0.6078979927243181	0.0468310425554345	0.127721025151185	0.6034199398001957				
NadigOConner2024_jurkat	ATF4	0.1679039065219309	0.3659444116503623	0.5386164041478193	0.4371343274778542	0.6454391324988487	0.5063494931375143	0.5888477838174657	0.7944771686426124	0.4909903660637659	0.7414467077513157	0.9406413456546544	0.4740099888367651				
ReplogleWeissman2022_K562_essential	ATF4	0.0004297231925114	0.0027573904852817	0.613776431419208	0.0007383236299778	0.0040607799648781	0.6085305905191308	0.0635078433099136	0.2445051967431674	0.5520931179159622	0.0752547576863877	0.2759341115167552	0.5490807710772956	z-aggregate, viper	0.6338480451314413	0.7394893859866816	
