Dataset	TF	CausalPath_MWU-pvalue	CausalPath_MWU-adjusted-pvalue	CausalPath_ROC-AUC	CollecTRI_MWU-pvalue	CollecTRI_MWU-adjusted-pvalue	CollecTRI_ROC-AUC	DoRothEA_MWU-pvalue	DoRothEA_MWU-adjusted-pvalue	DoRothEA_ROC-AUC	Ensemble_MWU-pvalue	Ensemble_MWU-adjusted-pvalue	Ensemble_ROC-AUC	Best3_Top, Second	Best3_DeLongs-pvalue	Best3_DeLongs-adjusted-pvalue	Best3_Winner	Best4_Top, Second	Best4_DeLongs-pvalue	Best4_DeLongs-adjusted-pvalue	Best4_Winner
NormanWeissman2019_filtered	AHR	0.0106776492077397	0.0213552984154794	0.5288087168533523	0.3610024307367981	0.5415036461051973	0.5044538399413481	0.012057338015761	0.0197301894803363	0.5282325287811702	0.1412096645464115	0.2452588910542937	0.5134559868924272	CausalPath, DoRothEA	0.9744001843973648	0.9744001843973648		CausalPath, DoRothEA	0.9744001843973648	0.9744001843973648	
ReplogleWeissman2022_K562_gwps	AR	0.0497696782837777	0.2499543842696395	0.5292601897286575	0.7480285683487082	0.9559333566863149	0.4881278613865643	0.8182143272615082	0.9999995011210674	0.4838593079695898	0.7739744325567148	0.9999973175522412	0.4866409328894615								
ReplogleWeissman2022_K562_gwps	ARNT	0.0022039494558237	0.0292995633538924	0.5852882070614819	0.2094192086602416	0.7174266107083231	0.5242152728090218	0.176117867096093	0.8299473673295268	0.5278642551477513	0.0253543733821507	0.2958370645170652	0.558526457319617	CausalPath, DoRothEA	0.0891107498920372	0.1782214997840745		CausalPath, Ensemble	0.262810367720342	0.4750006236963892	
PapalexiSatija2021_eccite_RNA	ATF2	0.9587056862517052	0.9587056862517052	0.4817465919618829	0.8210722344067156	0.9481264908610472	0.490331531635691	0.2122855223125965	0.2653569028907457	0.5083970621121698	0.4687867808057698	0.639254701098777	0.5008237708471833								
ReplogleWeissman2022_K562_gwps	ATF2	0.2782005724630264	0.6834057540939562	0.5124324831819382	0.2165086149089399	0.7174266107083231	0.5165719499132981	0.1905805065719654	0.8299473673295268	0.5185106004047157	0.1674175182723058	0.6831533631514225	0.5203846053233694								
ReplogleWeissman2022_K562_gwps	ATF3	0.8882733447193938	0.9954610858195412	0.479896628400517	0.4428259190261109	0.8677503936330341	0.502378089880997	0.3552022461450246	0.8942275200343378	0.5061401906694014	0.265076754848185	0.7627855882055198	0.5103810891552673								
NadigOConner2024_hepg2	ATF4	0.0641261161368183	0.1479833449311192	0.5938359832326926	0.0138262107156513	0.0980404032564371	0.635855815928942	1.1245676646773128e-05	0.0001499423552903	0.7614813583734973	0.000141851597416	0.0009659418300234	0.723921112403745	DoRothEA, CollecTRI	0.0317481839127656	0.0761956413906376	DoRothEA	DoRothEA, Ensemble	0.1193971762883532	0.3263977846624061	
NadigOConner2024_jurkat	ATF4	0.1679039065219309	0.3659444116503623	0.5386164041478193	0.0098037381833118	0.0550517605678279	0.5936340523833183	6.156976932866569e-07	7.1577182345763305e-06	0.6946080930226556	7.369852435376486e-07	1.5009617312594046e-05	0.6931723590560936	DoRothEA, CollecTRI	0.0465571968230692	0.1047536928519057		DoRothEA, Ensemble	0.9510581693356992	0.9510581693356992	
ReplogleWeissman2022_K562_essential	ATF4	0.0004297231925114	0.0027573904852817	0.613776431419208	0.0608446255646271	0.1824091130367392	0.5528354415847371	1.1216912285723686e-12	3.0285663171453955e-11	0.7395905086939278	2.1151925119656026e-08	2.961269516751844e-07	0.6871047028617947	DoRothEA, CausalPath	0.0004201590974447	0.0018907159385012	DoRothEA	DoRothEA, Ensemble	0.0003641646043483	0.0016387407195675	DoRothEA
ReplogleWeissman2022_K562_gwps	ATF4	0.0258487531631877	0.1737648515870974	0.5553805326891637	0.0037178437405462	0.0753708321947107	0.5761884469727774	8.956108012970441e-10	1.2090745817510096e-07	0.6712295934665263	7.319273585224366e-08	4.04556212710583e-06	0.6496357678152379	DoRothEA, CollecTRI	0.0009532094152109	0.0057192564912655	DoRothEA	DoRothEA, Ensemble	0.0898175282990476	0.2844221729469842	
ReplogleWeissman2022_rpe1	ATF4	0.4778833687404365	0.5853600833535333	0.5022933031970345	0.0402302838321174	0.1528750785620465	0.5722457562714914	2.7250823942112497e-05	0.0001771303556237	0.6667834925085429	0.0003002360894615	0.0011923661838614	0.641819121410064	DoRothEA, CollecTRI	0.0366982542246133	0.0681539007028533	DoRothEA	DoRothEA, Ensemble	0.2422387601131796	0.4498719830673337	
SunshineHein2023	ATF4	1.3156714614669502e-11	1.2498878883936028e-10	0.6630201644549086	2.977961254164853e-07	1.0422864389576987e-06	0.6221004120291095	1.7346633031467977e-12	6.938653212587191e-12	0.6701470640696345	3.7519729021971606e-10	2.8765125583511563e-09	0.6505288598744292	DoRothEA, CausalPath	0.6892740560894308	0.8041530654376693		DoRothEA, CausalPath	0.6892740560894308	0.8257707241139165	
ReplogleWeissman2022_K562_gwps	ATF6	0.0024706033212901	0.0310197972561979	0.5720636801723915	0.0773179826677033	0.566710149823864	0.5364914170959482	0.0001994449698418	0.0067312677321627	0.5907785952139618	0.0773179826677033	0.5429044340260708	0.5364914170959482	DoRothEA, CausalPath	0.2265277398052483	0.2912499511781764		DoRothEA, CausalPath	0.2265277398052483	0.4750006236963892	
SunshineHein2023	ATF6	0.0359856312892904	0.0854658743120647	0.5447429539745864	0.0992035933855836	0.1543167008220189	0.5319818447104019	0.0486547573779606	0.0973095147559213	0.5412303302304965	0.0992035933855836	0.2239865614067061	0.5319818447104019	CausalPath, DoRothEA	0.8257707241139165	0.8257707241139165		CausalPath, DoRothEA	0.8257707241139165	0.8257707241139165	
ReplogleWeissman2022_K562_gwps	BCL6	0.2246544733857756	0.6307470147232634	0.5177914619550336	0.283965460431544	0.791553720952929	0.5134300446486224	0.5692163009434772	0.9999995011210674	0.4958993473339744	0.425273868372741	0.8561805032139952	0.5044309131244583								
NormanWeissman2019_filtered	CEBPA	1.0989208128452682e-122	8.791366502762144e-122	0.8258777012208315	2.78259845206329e-91	2.78259845206329e-90	0.7801937739324227	3.850000903199169e-37	2.3100005419195012e-36	0.6756322230775088	9.67885609563249e-59	1.0646741705195738e-57	0.7232514771285391	CausalPath, CollecTRI	0.0003773006096923	0.0013834355688719	CausalPath	CausalPath, CollecTRI	0.0003773006096923	0.0020751533533078	CausalPath
ReplogleWeissman2022_K562_gwps	CEBPA	0.024305875903009	0.1737648515870974	0.560719724890803	0.0107196057084428	0.1707480052130535	0.5708247793217304	0.1417647571627108	0.7720589050930561	0.5330213276638258	0.1131422017529986	0.6253678060529377	0.5372570102282628								
GasperiniShendure2019_lowMOI	CEBPB	0.1239680327409921	0.4028961064082245	0.5853658536585367	0.0189679791210904	0.360391603300718	0.6532859078590787	0.0968105603714185	0.3906889767230923	0.5960365853658536	0.0195054177848989	0.2535704312036858	0.6524390243902438								
NormanWeissman2019_filtered	CEBPB	1.3498467137773855e-48	4.319509484087634e-48	0.6963015697608523	7.332368264932414e-08	2.4441227549774716e-07	0.5706652711662701	2.9318552955425145e-08	7.53905647425218e-08	0.5728993114586876	3.3780368018560585e-10	1.2386134940138883e-09	0.5829651549926329	CausalPath, DoRothEA	5.58315744969363e-16	6.141473194662993e-15	CausalPath	CausalPath, Ensemble	1.1473551003292238e-12	1.2620906103621462e-11	CausalPath
ReplogleWeissman2022_K562_gwps	CEBPB	0.0549565729000487	0.2700040320741526	0.5357499435224572	0.3674946161188333	0.8487040402070734	0.5075699970427034	0.0991814244625801	0.7237563406728819	0.5287646244734949	0.3596695880221695	0.843819083453071	0.5080361825434435								
NadigOConner2024_hepg2	CLOCK	0.9082627631691356	0.9966961233902358	0.4738212923465817	0.9972149552085576	0.99999999992544	0.4454411266842711	0.8064190392938049	0.9727557727085164	0.4829801160087571	0.9685120598093218	0.9999999990003032	0.4634048795901325								
NadigOConner2024_jurkat	CLOCK	0.986626523636814	0.9999999809091804	0.4690029466474396	0.9999999999727516	0.9999999999727516	0.4081935097669636	0.4599347190447545	0.7281094579807673	0.5014083647048283	0.9998929444497452	0.9999681819073516	0.4481793500332213								
ReplogleWeissman2022_K562_gwps	CLOCK	0.6262355848470591	0.8633938227040122	0.4931226928469605	0.9972547338994222	0.9998782080621428	0.4406726112074771	0.8371973932615002	0.9999995011210674	0.4789973961051063	0.985922728578751	0.9999973175522412	0.4530994624866665								
ReplogleWeissman2022_rpe1	CLOCK	2.0022448035827977e-10	1.3707675962989924e-09	0.5696012215244669	1.0	1.0	0.3978682143231342	0.2434773736334014	0.3980877337381151	0.5077367301059582	0.9999999999778226	0.9999999999778226	0.4266717073341098	CausalPath, DoRothEA	3.611510581882047e-07	4.694963756446661e-06	CausalPath	CausalPath, DoRothEA	3.611510581882047e-07	4.694963756446661e-06	CausalPath
ReplogleWeissman2022_K562_gwps	CREB1	0.5355286381087379	0.8289689877573613	0.4981588480731702	0.903152129471436	0.9899555729331274	0.4731648311673392	0.6243883904752101	0.9999995011210674	0.4934544266007682	0.7963459530367629	0.9999973175522412	0.4828912225615301								
FrangiehIzar2021_RNA	E2F1	0.9963376581906388	0.9963376581906388	0.4677723095461446	0.9995050277487012	0.9995050277487012	0.4604216448558502	0.9999911615781432	0.9999911615781432	0.4484159423232134	0.999995150201828	0.999995150201828	0.4468370172428716								
ReplogleWeissman2022_K562_gwps	E2F1	0.3960646314883979	0.7866076685626742	0.5050909549975588	0.1881652042891331	0.6822900903492144	0.5170893323824203	0.7225391068849739	0.9999995011210674	0.4885952652185983	0.6191201228438415	0.960791235007061	0.4941436875963279								
ReplogleWeissman2022_K562_gwps	E2F2	0.6983091146852307	0.8910180394627939	0.4897088937610563	0.5786847396556434	0.9381424482860112	0.4960675442230995	0.8779579995481797	0.9999995011210674	0.4769268473311669	0.8090774031432699	0.9999973175522412	0.4826778716031811								
ReplogleWeissman2022_K562_gwps	E2F3	0.0058972754045088	0.0572872092333576	0.5371445802739778	0.0315393122335878	0.3271286803762831	0.5274153816430838	0.4415726615163828	0.9462271318208204	0.5021680470571444	0.0078309860068229	0.1322566525596767	0.5356469356549769	CausalPath, CollecTRI	0.4545745006147297	0.5454894007376756		CausalPath, Ensemble	0.8776795167369691	0.926439489889023	
ReplogleWeissman2022_K562_gwps	E2F4	0.3323605239144162	0.7364066510260594	0.51005985564608	0.7048821315348489	0.9535266025170543	0.4875009565230549	0.7684808612039928	0.9999995011210674	0.4829664536016065	0.802356069513286	0.9999973175522412	0.4802689937377462								
ReplogleWeissman2022_K562_gwps	E2F5	0.4110011990512044	0.7886027772090635	0.509009324790334	0.3023124000486141	0.8221422586687921	0.5207343852287898	0.9995224834289448	0.9999995011210674	0.3677093696359259	0.9006813344263169	0.9999973175522412	0.4485229305305697								
