Dataset	TF	correlation_MWU-pvalue	correlation_MWU-adjusted-pvalue	correlation_ROC-AUC	nonzero-rate_MWU-pvalue	nonzero-rate_MWU-adjusted-pvalue	nonzero-rate_ROC-AUC	specificity_MWU-pvalue	specificity_MWU-adjusted-pvalue	specificity_ROC-AUC	uniform_MWU-pvalue	uniform_MWU-adjusted-pvalue	uniform_ROC-AUC	Top, Second	DeLongs-pvalue	DeLongs-adjusted-pvalue	Winner
NadigOConner2024_hepg2	ACTL6A	0.0895455982390917	0.1812232345314952	0.6294265014557519	0.1169609275875458	0.2567434995824177	0.6146658541539711	0.1622979038159223	0.3245958076318447	0.59489471189654	0.1834991496004067	0.3370392543680939	0.5869050037240164				
NadigOConner2024_jurkat	ACTL6A	6.6692137576748585e-06	0.000131716971714	0.919190224533736	9.10285631482068e-06	0.0001289571311266	0.912581904948317	7.873319438275182e-06	0.0001115386920422	0.9156763507908546	4.629852816964324e-06	7.870749788839351e-05	0.9268238123199956	uniform, correlation	0.0951032252192383	0.2915578771701514	
ReplogleWeissman2022_K562_essential	ACTL6A	0.4000881363017574	0.6699150189238728	0.5100631293886622	0.4644662755544335	0.7609341110147102	0.5035463758201326	0.4443251136046207	0.727936888245868	0.5055667998256055	0.3680662634101385	0.6911808723186602	0.5133968289976925				
ReplogleWeissman2022_K562_gwps	ACTL6A	0.0523199235163924	0.2633659226611101	0.5610118381704047	0.0443712822037518	0.2279070404101797	0.5639934715721495	0.1627632262143163	0.5573407443096288	0.5369645536352144	0.150781434330971	0.5011265317470509	0.5388415334309342				
ReplogleWeissman2022_rpe1	ACTL6A	0.0862222042918711	0.1301467234594281	0.6017699115044248	0.1099796045678465	0.1808665204307933	0.591495078711411	0.1331229261293425	0.2154170986456633	0.58292590320979	0.0918217734277343	0.1541912799069501	0.5991763778147726				
ReplogleWeissman2022_K562_gwps	AGO1	0.6546795652245117	0.9248647826187546	0.4910188561444684	0.3311024711338896	0.6865060410665967	0.5098587382710924	0.4588756935934264	0.8149068618692006	0.502330418097453	0.3062549775439046	0.7062614788257392	0.5114298929627371				
ReplogleWeissman2022_K562_gwps	AGO2	0.4231218142047782	0.7781801337919066	0.5086402261769144	0.8167540232912234	0.9715074171779816	0.4597629737413963	0.5838139088443199	0.8668657586954832	0.4905693671960508	0.663068819405631	0.879855710281378	0.4812485042264577				
ReplogleWeissman2022_K562_gwps	AGO3	0.9941641267050904	0.9999954393391224	0.4465526620883258	0.1883239756582627	0.5527430973865894	0.5187366834337412	0.0142296605035658	0.123688587454072	0.5464320429098765	0.0269104858652584	0.1737648515870974	0.5408662676290261				
NormanWeissman2019_filtered	AHR	2.6621681841076673e-15	7.099115157620446e-15	0.5978670434768276	0.9990328157121668	0.999999999509541	0.461197155671351	0.8584562342366019	0.9156866498523754	0.486564692086193	0.0106776492077397	0.0213552984154794	0.5288087168533523	correlation, uniform	4.123527219126087e-05	0.0001443234526694	correlation
ReplogleWeissman2022_K562_gwps	AKT1	0.3468386942271805	0.7137623266775575	0.507541285029232	0.403911012269345	0.7606990731072664	0.5046571817199637	0.8374190028740987	0.9679918717064462	0.4811616003084841	0.445415843678867	0.7886027772090635	0.5026279345082535				
ReplogleWeissman2022_K562_gwps	APC	0.2651201364357554	0.646457318980335	0.5096122560798091	0.1191827567225208	0.4087690446818313	0.5180575507023824	0.5983675148517494	0.8668657586954832	0.496184709895484	0.194712797571907	0.5790143717269868	0.5131809394668543				
GasperiniShendure2019_lowMOI	APEX1	0.5503391247996149	0.8255086871994224	0.4897852824682093	0.6949415680994849	0.8771829162362194	0.4585157390035439	0.4780882145471544	0.6905718654570008	0.5045861997081509	0.607268110681119	0.7176804944413224	0.4779028559516365				
TianKampmann2021_CRISPRi	APEX1	0.0375497227505523	0.213599611640448	0.5439253789350952	0.0635109939635276	0.1270219879270553	0.5376603186941313	0.0512947095237157	0.1848749624852642	0.5402876020209872	0.0460820624187425	0.1382461872562276	0.5415623785464438				
ReplogleWeissman2022_K562_gwps	AR				0.2815195844444981	0.6670219131318594	0.5102739724295409	0.0713821871500768	0.3267854977078183	0.5260355864506985	0.0497696782837777	0.2499543842696395	0.5292601897286575				
ReplogleWeissman2022_K562_gwps	ARNT	0.0638353154934995	0.2771386867766564	0.5456291399794932	0.0034840307841279	0.0328079565505384	0.5808244328052461	0.0018902283076877	0.0284794398358289	0.5867418338870719	0.0022039494558237	0.0292995633538924	0.5852882070614819	specificity, uniform	0.9158344172542002	0.9628002848056976	
ReplogleWeissman2022_K562_gwps	ARNTL				0.9914610447269258	0.9999837890165918	0.4576506317334644	0.9511016617509356	0.9999999998639296	0.4706020464801073	0.9752005231081476	0.99999988097155	0.4651370620758889				
NadigOConner2024_hepg2	ASF1B	0.8557438207165702	0.940215025563456	0.4542081386688334	0.9199692807784612	0.974085120824253	0.439388809894599	0.9891929493956584	0.9970974545388352	0.400893763965062	0.9605430381606348	0.9966961233902358	0.4241948224885458				
NadigOConner2024_jurkat	ASF1B	0.6292800166329142	0.8662461735054002	0.4900467935648818	0.4049782368598246	0.6102156409915396	0.5072551908761667	0.3429628683354846	0.5845248737046668	0.5121998811013083	0.3951227767697035	0.6106442913713599	0.5080247498933195				
ReplogleWeissman2022_K562_essential	ASF1B	0.4170984192820047	0.6825246860978258	0.503631483879876	0.5191168343717067	0.766074019023357	0.4991685524980267	0.940184744056398	0.9999997917412552	0.473001024290216	0.6238922406759462	0.857851830929426	0.494523067772431				
ReplogleWeissman2022_K562_gwps	ASF1B	0.5175790948812498	0.8299917017014636	0.4995136489238662	0.121291258283589	0.4087690446818313	0.5128938185537282	0.2973321619609772	0.6999694646164673	0.5058710624074774	0.2391367589676785	0.6433917562701827	0.5078239979979826				
PapalexiSatija2021_eccite_RNA	ATF2	0.9250629698097996	0.9983620641312616	0.4848579812974353	0.5665717694102926	0.6295241882336585	0.498237221663576	0.8012851472237577	0.8012851472237577	0.4911016775108276	0.9587056862517052	0.9587056862517052	0.4817465919618829				
ReplogleWeissman2022_K562_gwps	ATF2	0.3509981398038274	0.7137623266775575	0.5080874693300833	0.050477970086214	0.2535115830996529	0.5346690551605191	0.0353614864739729	0.2103077879767861	0.5381991907836341	0.2782005724630264	0.6834057540939562	0.5124324831819382				
ReplogleWeissman2022_K562_gwps	ATF3	0.380324494209467	0.728074627603122	0.5050304854681045	0.8614853949858421	0.9785376571264156	0.4820496413178062	0.9043067730507948	0.9882189046010396	0.4784254160463801	0.8882733447193938	0.9954610858195412	0.479896628400517				
NadigOConner2024_hepg2	ATF4	1.8060129095487043e-05	9.03006454774352e-05	0.754842760327221	0.0925423334629732	0.2155882613178117	0.581759089985781	0.0466993518389002	0.1200840475857436	0.6035030376895094	0.0641261161368183	0.1479833449311192	0.5938359832326926	correlation, specificity	0.0127494775254799	0.052156953513327	correlation
NadigOConner2024_jurkat	ATF4	0.0466083651202641	0.1315021730178882	0.5673504416898427	0.4083233673257912	0.6102156409915396	0.5093032334664748	0.1984516856451418	0.4217098319959264	0.5339897917701792	0.1679039065219309	0.3659444116503623	0.5386164041478193				
ReplogleWeissman2022_K562_essential	ATF4	8.240010004682111e-10	1.48320180084278e-08	0.7058193479032293	0.4217388937018304	0.7059542351095857	0.5067409251257645	0.007583027638738	0.03434665459899	0.5828988978646127	0.0004297231925114	0.0027573904852817	0.613776431419208	correlation, uniform	0.001675606698399	0.0064630544081107	correlation
ReplogleWeissman2022_K562_gwps	ATF4	1.2020709972580889e-05	0.0001945169431926	0.6202203024067234	0.4554198240265903	0.787374778840435	0.5031874301023571	0.0039509163150543	0.0525239463060172	0.5756066903958117	0.0258487531631877	0.1737648515870974	0.5553805326891637	correlation, specificity	0.051110061795642	0.3357724060255268	
ReplogleWeissman2022_rpe1	ATF4	0.0031462090734741	0.0062924181469483	0.6129190307508265	0.5580137032994041	0.680318076625301	0.4939694619633535	0.1106828977118009	0.18988217779895	0.5505429719421283	0.4778833687404365	0.5853600833535333	0.5022933031970345	correlation, specificity	0.2031204695521133	0.3781628621086906	
SunshineHein2023	ATF4	1.1265843964982699e-16	1.0702551766733566e-15	0.7007293004423515	2.4453120372405095e-11	2.3230464353784838e-10	0.660779421732306	3.0641896181229426e-12	2.9109801372167956e-11	0.6681749875142694	1.3156714614669502e-11	1.2498878883936028e-10	0.6630201644549086	correlation, specificity	0.0521975922358443	0.2235240917054873	
ReplogleWeissman2022_K562_gwps	ATF6	0.0074878204250706	0.0701490545085565	0.5623758390182464	0.0001102708487448	0.0019170162935635	0.5947121206445054	0.2137865214460063	0.5964907882320671	0.5203397915071646	0.0024706033212901	0.0310197972561979	0.5720636801723915	nonzero-rate, uniform	0.0550351422701274	0.3357724060255268	
SunshineHein2023	ATF6	0.0502252536835638	0.0954279819987712	0.5408482472665485	0.0301567378585479	0.0816267225016132	0.5467122395833333	0.3049326161617168	0.579371970707262	0.512689540854019	0.0359856312892904	0.0854658743120647	0.5447429539745864	nonzero-rate, uniform	0.7917377175112101	0.9676794325137013	
ReplogleWeissman2022_K562_gwps	ATM	0.9158220182795864	0.9978923287310684	0.4681289594276259	0.9415467684267927	0.9999837890165918	0.4637240398146383	0.5663406194113799	0.8668657586954832	0.4961346879794912	0.659788574321435	0.879855710281378	0.4904703117026376				
TianKampmann2021_CRISPRa	ATM	0.9684958151449872	0.99980317523568	0.4502311294933398	0.9833687801166754	0.9833687801166754	0.4430083328264704	0.5218533485036324	0.8349653576058118	0.4985402347789064	0.898495306320028	0.898495306320028	0.4659236056200961				
NadigOConner2024_hepg2	ATR	4.0812324188996145e-08	3.469047556064673e-07	0.6562472069876093	1.7736919351630993e-07	1.5618218732542552e-06	0.6483313020515946	7.952848824067706e-08	7.952848824067705e-07	0.6527005890717041	6.946884341895037e-08	6.059863723615837e-07	0.6534257566524477	correlation, uniform	0.3049875576035463	0.4427238739406318	
NadigOConner2024_jurkat	ATR	0.0073217095063738	0.0304428974212385	0.563111249588894	0.0117312515210558	0.0498578189644874	0.5585800967480357	0.012398579282832	0.0658674524400454	0.5580301801675848	0.0113005757904191	0.0513495959420933	0.5589495927554815	correlation, uniform	0.4391207955713117	0.6915331102070797	
ReplogleWeissman2022_K562_essential	ATR	0.0452313102993484	0.1480297427978677	0.541873248985126	0.0186530596194405	0.0683945519379487	0.5515053622916138	0.0824241548605888	0.244102304779436	0.5343539248598508	0.0721934547969543	0.2416911312767601	0.5361025574006157	nonzero-rate, correlation	0.2612335492286491	0.4521734201028741	
ReplogleWeissman2022_K562_gwps	ATR	6.401683402862142e-08	1.6278566367278018e-06	0.6773090151063749	7.071455021277652e-08	2.6635813913479155e-06	0.6766961392807402	3.3316125850431835e-08	1.505888888439519e-06	0.6812832902593674	2.8132371058139924e-08	1.5894789647849055e-06	0.6822991355625545	uniform, specificity	0.6395717429725403	0.8194512956835672	
ReplogleWeissman2022_rpe1	ATR	2.607986152270991e-29	6.9546297393893085e-28	0.7606509837395387	1.5616069217766402e-27	3.474575400953025e-26	0.7520411076220382	1.1183685293957309e-23	1.9906959823244007e-22	0.732291133766531	8.553553366466268e-25	2.537554165384993e-23	0.7381763297654345	correlation, nonzero-rate	0.1111786785073438	0.2415260946883677	
SunshineHein2023	BCL2	0.6560432183699076	0.7790513218142654	0.4889422857273392	0.3459819790617368	0.5976052365611817	0.5109092310855263	0.8783531245150988	0.9764796995546412	0.4678776612755847	0.6231399139353179	0.9369211363221422	0.4913637038559941				
TianKampmann2021_CRISPRa	BCL2	0.9729517735208753	0.99980317523568	0.4510565691035569	0.0531373230801834	0.2125492923207337	0.5410552565953537	0.8688418698439089	0.9692837706814532	0.4715185719910749	0.6557957380799582	0.8743943174399442	0.4898149363433522				
ReplogleWeissman2022_K562_gwps	BCL6				0.3187388615484767	0.6860474543805308	0.5110814321463868	0.1851150699811174	0.581868858733476	0.5210713450458491	0.2246544733857756	0.6307470147232634	0.5177914619550336				
NadigOConner2024_hepg2	BRCA1	0.001061236517747	0.003758546000354	0.6300085140957987	0.9994754661592106	0.999824409025126	0.3613434119482585	0.9567868281778062	0.9970974545388352	0.4274551497313954	0.963472919277228	0.9966961233902358	0.4241575583129124	correlation, specificity	0.0001651900047465	0.0037167751067969	correlation
NadigOConner2024_jurkat	BRCA1	0.0684978294695923	0.1745589847773481	0.5368879184558685	0.9738297796414216	0.9999999816193396	0.4518695769044017	0.9913041085736736	0.9999999998492852	0.4410048635267334	0.9801345640125816	0.9999999809091804	0.4489868520068553				
ReplogleWeissman2022_K562_essential	BRCA1	0.8899928978237763	0.9980810892615924	0.4651114900504342	0.8692370464660168	0.9989739190728852	0.4680613159149699	0.196978158249257	0.4753532514665559	0.5242498085232445	0.3206900356972797	0.6498192828602773	0.5132498301998584				
ReplogleWeissman2022_K562_gwps	BRCA1	0.8447189558049331	0.9837652949582482	0.4790097543458128	0.8696832113476833	0.9785376571264156	0.4767151720713337	0.368834400561482	0.7802129900556298	0.5069331972501576	0.578961715783133	0.8534806015070802	0.4958758893946188				
ReplogleWeissman2022_rpe1	BRCA1	3.1193941111236905e-05	9.242649218144268e-05	0.8090898849682693	0.982428916578622	0.9999999948166662	0.3373596525265674	0.5202205461685742	0.6256706568784203	0.4960884204728943	0.9289139348042426	0.9960643397298504	0.3866893642588026	correlation, specificity	0.0035857372258298	0.0150600963484854	correlation
GasperiniShendure2019_lowMOI	BTF3	0.3177750485449661	0.6853243629943924	0.5360433604336043	0.0086198376250649	0.056028944562922	0.6807588075880759	0.0195835320934392	0.1454323037107923	0.6565492321589883	0.0090178356076506	0.0818434379599987	0.6794941282746161	nonzero-rate, uniform	0.9566030304371136	0.9566030304371136	
ReplogleWeissman2022_rpe1	BTF3	0.4808556759021667	0.5828553647298991	0.5013339849857357	0.7512757700258028	0.8254758460777339	0.4811517849032609	0.2689164970653825	0.3739620037315476	0.517115119809456	0.4660206978419694	0.5841667902526096	0.5023693406119049				
SunshineHein2023	BTF3	0.0097161173239944	0.026372318450842	0.5759562174479167	0.9338570349198922	0.9432160568690804	0.4510864257812499	0.9764796995546412	0.9764796995546412	0.4354614257812499	0.8068176401017141	0.9580959476207856	0.4718505859374999	correlation, uniform	0.0609611159196783	0.2235240917054873	
ReplogleWeissman2022_K562_gwps	CARM1	0.0287384379628463	0.1705147319128886	0.5440935295808808	0.0001982213339085	0.0029865347642216	0.5822242349436786	0.001304511253434	0.0226784264058526	0.5698749927044852	0.0012834821761724	0.0207190694153553	0.5699894728423109	nonzero-rate, uniform	0.2669802110419151	0.6841367907949075	
ReplogleWeissman2022_K562_gwps	CBFB	0.9848025420801448	0.9999954393391224	0.4494240368532322	0.9959796652246132	0.9999837890165918	0.4380830310189254	0.9913806320459846	0.9999999998639296	0.4443622359484569	0.9932239480000812	0.99999988097155	0.4423216958163015				
FrangiehIzar2021_RNA	CCND1	0.736936445961145	0.9992444298668436	0.4926742411858968	0.4767729192883208	0.7201127521071586	0.5006732122481785	0.45349991285155	0.6235623801708813	0.5013500441442111	0.3455863323698012	0.5809318272557525	0.5045908543019628				
NadigOConner2024_hepg2	CCND1	0.7190462210563016	0.8857815766635599	0.4730829127538452	0.8277152884411464	0.919683653823496	0.4561347312718428	0.4382209928583136	0.6684727009703089	0.5072188627947312	0.5902982065722258	0.7378727582152822	0.4894060844700698				
NadigOConner2024_jurkat	CCND1				0.4923348844036913	0.6974744195718959	0.5003343524538911	0.6259105548155163	0.7940656292435655	0.4944162545266979	0.5186846424747581	0.7260260065931703	0.4991852389935872				
ReplogleWeissman2022_K562_essential	CCND1				0.0550457681922548	0.1926601886728918	0.5384352345340331	0.0426813632559117	0.1428897813350088	0.5413844417737448	0.0229176781184524	0.0980367341733798	0.5480362423085139	uniform, specificity	0.5515534871042644	0.7091401977054829	
ReplogleWeissman2022_K562_gwps	CCND1				0.4302704870787325	0.7830215235089585	0.5028862353630357	0.4530313826294263	0.8149068618692006	0.5019386614729806	0.714378832200114	0.8981778257139823	0.4906979483931493				
