Dataset	TF	Top_Weight	Top_ROC_AUC	Top_MWU_Adjusted_P_Value	Top_MWU_Significant_FDR_BH	Top_N_Cells	Top_N_Pos	Top_N_Control	Second_Weight	Second_ROC_AUC	Second_MWU_Adjusted_P_Value	Second_MWU_Significant_FDR_BH	AUC_Diff	DeLong_Z	DeLong_P_Value	DeLong_P_Value_FDR_BH	DeLong_Significant_FDR_BH
FrangiehIzar2021_RNA	STAT1	CORRELATION	0.7550073187636518	1.8294740800443833e-119	True	56968	707	56261	NONZERORATE	0.7046933484162656	2.744625594438681e-77	True	0.05031397034738616	6.15519443433909	7.49854417690968e-10	6.748689759218712e-09	True
FrangiehIzar2021_RNA	MYC	NONZERORATE	0.6314558066002227	1.7233504970228424e-09	True	56446	185	56261	UNIFORM	0.6189287668429526	8.121705065382352e-08	True	0.012527039757270098	1.6648284367788366	0.09594698884799262	0.1708621266614566	False
FrangiehIzar2021_RNA	JAK2	CORRELATION	0.6146339784772662	1.0255990652689584e-37	True	57348	1087	56261	UNIFORM	0.5813454744297208	1.9317562588909917e-19	True	0.03328850404754535	4.234360376101231	2.2920313689636537e-05	6.876094106890962e-05	True
FrangiehIzar2021_RNA	SMAD4	NONZERORATE	0.5815773521203553	6.924315461882798e-12	True	56889	628	56261	UNIFORM	0.5466486129195174	0.0001242200051448104	True	0.034928739200837944	4.85142349614338	1.225784922559888e-06	5.516032151519497e-06	True
FrangiehIzar2021_RNA	JAK1	SPECIFICITY	0.5578061681854718	1.4883387577916618e-09	True	57251	990	56261	UNIFORM	0.547346117185793	8.380739998494772e-07	True	0.010460050999678838	2.973347863048486	0.0029457039620410953	0.006627833914592465	True
FrangiehIzar2021_RNA	TP53	UNIFORM	0.5469747554314439	0.00027524302905136385	True	56809	548	56261	NONZERORATE	0.5443341039423013	0.0006353682507616837	True	0.002640651489142609	0.41553835266418865	0.6777478450679333	0.6807447422341586	False
FrangiehIzar2021_RNA	SMAD3	CORRELATION	0.5385813222185698	0.0010946416520909068	True	56972	711	56261	UNIFORM	0.5254279638167211	0.02694212994736366	True	0.013153358401848725	1.5808686032980654	0.11390808444097106	0.1708621266614566	False
FrangiehIzar2021_RNA	CDKN2A	UNIFORM	0.5340472095733007	0.000905990785940061	True	57126	865	56261	CORRELATION	0.5223098003288349	0.04416615625275116	True	0.011737409244465757	0.9006232754661996	0.3677886549113095	0.47287112774311224	False
FrangiehIzar2021_RNA	TSC22D3	CORRELATION	0.528798806054314	0.02244415972938918	True	56932	671	56261	NONZERORATE	0.5233225197941752	0.05284939668807431	True	0.005476286260138741	0.4114470741418042	0.6807447422341586	0.6807447422341586	False
GasperiniShendure2019_lowMOI	MAX	NONZERORATE	0.7416440831074976	0.05602894456292205	True	378	9	369	UNIFORM	0.718458295694068	0.08184343795999875	True	0.02318578741342958	1.1141565338119774	0.2652120388972392	0.5304240777944784	False
GasperiniShendure2019_lowMOI	BTF3	NONZERORATE	0.6807588075880759	0.05602894456292205	True	384	15	369	UNIFORM	0.6794941282746161	0.08184343795999875	True	0.00126467931345986	0.05441688006041132	0.9566030304371136	0.9566030304371136	False
NadigOConner2024_hepg2	RUVBL2	NONZERORATE	0.9485315233912599	1.097489314061736e-15	True	4952	29	4923	CORRELATION	0.9456667156976052	9.746362757632352e-16	True	0.002864807693654714	0.3391553059938538	0.7344927365735805	0.8474916191233621	False
NadigOConner2024_hepg2	RUVBL1	CORRELATION	0.8767598799286794	4.1395917730505915e-17	True	4968	45	4923	NONZERORATE	0.8756223621549643	8.290480087419291e-17	True	0.0011375177737151798	0.11710707437699569	0.9067752037707926	0.9489507946438527	False
NadigOConner2024_hepg2	MYC	NONZERORATE	0.8753847716370569	4.901498892994657e-19	True	4975	52	4923	CORRELATION	0.8628377005890717	4.174503370540892e-18	True	0.012547071047985137	1.1555365784613134	0.2478707624815819	0.41913299823568223	False
NadigOConner2024_hepg2	SSRP1	CORRELATION	0.829256260700502	0.0043670793989977605	True	4930	7	4923	SPECIFICITY	0.6873857404021937	0.11406315016133935	False	0.14187052029830827	1.1028140342893054	0.27010793219632856	0.41913299823568223	False
NadigOConner2024_hepg2	POLR2A	CORRELATION	0.7989954388491866	3.756375541567508e-06	True	4945	22	4923	NONZERORATE	0.7870939744797149	1.2060242930697234e-05	True	0.011901464369471704	1.167181489384229	0.2431370845822204	0.41913299823568223	False
NadigOConner2024_hepg2	TRRAP	SPECIFICITY	0.7937054163530128	7.475110784099517e-05	True	4940	17	4923	NONZERORATE	0.7559355247278681	0.0006588221552102463	True	0.03776989162514477	2.5049495730823863	0.012246885263352419	0.05215695351332701	True
NadigOConner2024_hepg2	POLR2H	CORRELATION	0.7777285345841105	1.6860163192425477e-07	True	4956	33	4923	UNIFORM	0.7209141998904339	3.503297730245915e-05	True	0.05681433469367658	3.0543173815429285	0.0022557330126186507	0.01691799759463988	True
