dataset	viper_seconds_1	viper_memory_1	viper_seconds_2	viper_memory_2	viper_seconds_3	viper_memory_3	viper_average_seconds	viper_average_memory	ulm_seconds_1	ulm_memory_1	ulm_seconds_2	ulm_memory_2	ulm_seconds_3	ulm_memory_3	ulm_average_seconds	ulm_average_memory	zscore_seconds_1	zscore_memory_1	zscore_seconds_2	zscore_memory_2	zscore_seconds_3	zscore_memory_3	zscore_average_seconds	zscore_average_memory	z_aggregate_seconds_1	z_aggregate_memory_1	z_aggregate_seconds_2	z_aggregate_memory_2	z_aggregate_seconds_3	z_aggregate_memory_3	z_aggregate_average_seconds	z_aggregate_average_memory
FrangiehIzar2021_RNA	7220.302	226.163	7170.710	226.157	7222.504	226.162	7204.505	226.161	136.230	88.116	136.207	88.116	136.764	88.117	136.400	88.116	110.139	87.387	109.991	87.383	110.691	87.388	110.274	87.386	13.716	17.900	13.796	17.896	13.803	17.897	13.772	17.898
GasperiniShendure2019_lowMOI	944.327	41.883	938.429	41.883	936.559	41.883	939.772	41.883	24.745	16.727	24.750	16.731	24.754	16.730	24.750	16.729	19.739	16.526	19.685	16.530	19.766	16.528	19.730	16.528	2.710	4.140	2.712	4.138	2.710	4.139	2.711	4.139
NadigOConner2024_hepg2	2073.848	83.847	2081.294	83.857	2119.111	83.854	2091.418	83.853	52.539	31.785	52.787	31.798	52.813	31.799	52.713	31.794	39.275	31.401	39.513	31.410	39.741	31.409	39.510	31.407	15.246	31.716	15.165	31.722	15.339	31.721	15.250	31.720
NadigOConner2024_jurkat	2937.173	139.761	2947.482	139.785	2935.504	139.768	2940.053	139.771	82.149	52.692	82.308	52.699	82.618	52.696	82.358	52.696	62.125	52.132	62.526	52.143	62.548	52.145	62.400	52.140	25.682	52.622	25.582	52.631	25.792	52.633	25.685	52.629
NormanWeissman2019_filtered	3105.921	109.809	3104.917	109.818	3118.509	109.817	3109.782	109.815	63.554	42.980	63.495	42.988	63.862	42.988	63.637	42.985	51.272	42.610	51.444	42.608	51.729	42.608	51.482	42.609	6.514	8.992	6.521	9.003	6.519	9.003	6.518	8.999
PapalexiSatija2021_eccite_RNA	665.368	22.658	668.203	22.671	662.764	22.670	665.445	22.666	13.450	9.158	13.431	9.171	13.639	9.171	13.507	9.167	10.730	9.009	10.734	9.019	10.834	9.020	10.766	9.016	1.338	2.091	1.338	2.102	1.342	2.102	1.339	2.098
ReplogleWeissman2022_K562_essential	3000.320	159.908	3018.245	159.930	3042.757	159.916	3020.441	159.918	94.044	60.196	94.490	60.223	94.678	60.209	94.404	60.209	70.776	59.556	70.913	59.568	71.373	59.569	71.021	59.564	30.385	60.172	30.305	60.184	30.534	60.184	30.408	60.180
ReplogleWeissman2022_K562_gwps	20256.991	898.223	19947.185	898.223	20086.761	898.223	20096.979	898.223	588.822	369.371	591.378	369.374	592.910	369.373	591.037	369.373	443.360	365.421	445.927	365.422	447.029	365.634	445.439	365.492	213.765	369.194	213.605	369.197	214.920	369.195	214.097	369.195
ReplogleWeissman2022_rpe1	2633.908	130.254	2634.391	130.256	2619.457	130.254	2629.252	130.255	82.354	49.205	82.428	49.217	82.627	49.244	82.470	49.222	60.857	48.642	61.140	48.644	61.260	48.644	61.086	48.643	24.475	49.155	24.355	49.157	24.457	49.158	24.429	49.157
SunshineHein2023	2789.060	86.181	2800.380	86.173	2806.232	86.183	2798.557	86.179	50.383	34.904	50.438	34.924	50.548	34.908	50.456	34.912	40.135	34.593	40.298	34.596	40.392	34.578	40.275	34.589	5.775	9.549	5.754	9.550	5.754	9.547	5.761	9.549
TianKampmann2021_CRISPRa	330.640	23.017	330.830	23.016	330.294	23.010	330.588	23.014	12.930	9.314	12.936	9.314	12.930	9.313	12.932	9.314	10.526	9.165	10.541	9.170	10.536	9.166	10.534	9.167	1.240	2.134	1.242	2.135	1.242	2.134	1.241	2.134
TianKampmann2021_CRISPRi	520.616	37.487	518.815	37.494	522.365	37.493	520.599	37.491	20.739	15.019	20.747	15.016	20.745	15.019	20.744	15.018	16.944	14.845	17.040	14.845	17.062	14.846	17.015	14.845	2.159	3.738	2.160	3.737	2.161	3.737	2.160	3.737
WesselsSatija2023	838.597	28.070	825.657	28.072	826.455	28.069	830.236	28.070	16.436	11.537	16.541	11.536	16.534	11.538	16.504	11.537	12.852	11.373	12.955	11.375	13.042	11.373	12.950	11.374	1.803	3.000	1.803	2.247	1.803	3.002	1.803	2.750
