	TF_1	TF_2	TF_3	TF_4	TF_5	TF_6	TF_7	TF_8	TF_9	TF_10	TF_11	TF_12	TF_13	TF_14	TF_15	TF_16	TF_17	TF_18	TF_19	TF_20	TF_21	TF_22	TF_23	TF_24	TF_25	TF_26	TF_27	TF_28	TF_29	TF_30	TF_31	TF_32	TF_33	TF_34	TF_35	TF_36	TF_37	TF_38	TF_39	TF_40	TF_41	TF_42	TF_43	TF_44	TF_45	TF_46	TF_47	TF_48	TF_49	TF_50
Cell_1	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	-1	0	0	0	0	1	0	0	-1	1	0	0	1	-1	0	0	0	0	0	-1	1	0	0	1	0	-1	0	0	-1	1	0	0	0	0	0	-1
Cell_2	0	0	1	0	0	0	0	0	0	0	0	1	0	-1	1	1	0	-1	0	0	0	0	-1	0	0	0	1	-1	0	0	0	0	0	0	1	-1	1	0	0	0	0	0	1	0	-1	1	0	-1	0	-1
Cell_3	-1	0	1	-1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	1	0	-1	0	0
Cell_4	-1	0	0	0	0	0	-1	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	-1	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	-1	0	0	-1
Cell_5	0	0	0	1	1	0	0	0	1	0	-1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	-1	-1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0
Cell_6	0	0	0	0	0	0	0	-1	-1	0	0	0	0	-1	0	1	1	-1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	-1	0	0	1	1	-1	0	1	0	0	0	0	0
Cell_7	0	0	0	0	0	0	1	0	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	-1	0	0	1	0	0	0	0	0	0	-1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1
Cell_8	0	0	1	-1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	1	1	0	1	1	0	-1	0	0
Cell_9	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	-1	0	1
Cell_10	0	0	0	0	0	0	1	0	-1	0	-1	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-1
