source	target	interaction	weight
TF_1	G_135	upregulates-expression	1.0
TF_1	G_762	upregulates-expression	1.0
TF_1	G_48	upregulates-expression	1.0
TF_1	G_962	upregulates-expression	1.0
TF_1	G_706	upregulates-expression	1.0
TF_1	G_605	upregulates-expression	1.0
TF_1	G_310	upregulates-expression	1.0
TF_1	G_396	upregulates-expression	1.0
TF_1	G_284	upregulates-expression	1.0
TF_1	G_340	upregulates-expression	1.0
TF_1	G_242	upregulates-expression	1.0
TF_1	G_643	upregulates-expression	1.0
TF_1	G_117	upregulates-expression	1.0
TF_1	G_213	upregulates-expression	1.0
TF_1	G_629	upregulates-expression	1.0
TF_1	G_144	upregulates-expression	1.0
TF_1	G_668	upregulates-expression	1.0
TF_1	G_634	upregulates-expression	1.0
TF_1	G_181	upregulates-expression	1.0
TF_1	G_921	downregulates-expression	1.0
TF_1	G_83	downregulates-expression	1.0
TF_1	G_231	downregulates-expression	1.0
TF_1	G_817	downregulates-expression	1.0
TF_1	G_825	downregulates-expression	1.0
TF_1	G_105	downregulates-expression	1.0
TF_1	G_358	downregulates-expression	1.0
TF_1	G_623	downregulates-expression	1.0
TF_1	G_691	downregulates-expression	1.0
TF_1	G_190	downregulates-expression	1.0
TF_1	G_891	downregulates-expression	1.0
TF_1	G_303	downregulates-expression	1.0
TF_1	G_126	downregulates-expression	1.0
TF_1	G_671	downregulates-expression	1.0
TF_1	G_636	downregulates-expression	1.0
TF_1	G_881	downregulates-expression	1.0
TF_2	G_179	upregulates-expression	1.0
TF_2	G_352	upregulates-expression	1.0
TF_2	G_755	upregulates-expression	1.0
TF_2	G_25	upregulates-expression	1.0
TF_2	G_426	upregulates-expression	1.0
TF_2	G_420	upregulates-expression	1.0
TF_2	G_137	upregulates-expression	1.0
TF_2	G_430	upregulates-expression	1.0
TF_2	G_113	upregulates-expression	1.0
TF_2	G_606	upregulates-expression	1.0
TF_2	G_349	upregulates-expression	1.0
TF_2	G_762	upregulates-expression	1.0
TF_2	G_927	upregulates-expression	1.0
TF_2	G_839	upregulates-expression	1.0
TF_2	G_323	upregulates-expression	1.0
TF_2	G_361	upregulates-expression	1.0
TF_2	G_353	upregulates-expression	1.0
TF_2	G_93	upregulates-expression	1.0
TF_2	G_268	downregulates-expression	1.0
TF_2	G_735	downregulates-expression	1.0
TF_2	G_414	downregulates-expression	1.0
TF_2	G_721	downregulates-expression	1.0
TF_2	G_817	downregulates-expression	1.0
TF_2	G_567	downregulates-expression	1.0
TF_2	G_46	downregulates-expression	1.0
TF_2	G_362	downregulates-expression	1.0
TF_2	G_594	downregulates-expression	1.0
TF_2	G_29	downregulates-expression	1.0
TF_2	G_343	downregulates-expression	1.0
TF_2	G_771	downregulates-expression	1.0
TF_2	G_138	downregulates-expression	1.0
TF_2	G_534	downregulates-expression	1.0
TF_2	G_80	downregulates-expression	1.0
TF_2	G_715	downregulates-expression	1.0
TF_2	G_182	downregulates-expression	1.0
TF_2	G_629	downregulates-expression	1.0
TF_2	G_896	downregulates-expression	1.0
TF_3	G_805	upregulates-expression	1.0
TF_3	G_494	upregulates-expression	1.0
TF_3	G_847	upregulates-expression	1.0
TF_3	G_340	upregulates-expression	1.0
TF_3	G_293	upregulates-expression	1.0
TF_3	G_893	upregulates-expression	1.0
TF_3	G_193	upregulates-expression	1.0
TF_3	G_410	upregulates-expression	1.0
TF_3	G_161	upregulates-expression	1.0
TF_3	G_127	upregulates-expression	1.0
TF_3	G_682	upregulates-expression	1.0
TF_3	G_442	upregulates-expression	1.0
TF_3	G_565	upregulates-expression	1.0
TF_3	G_858	downregulates-expression	1.0
TF_3	G_302	downregulates-expression	1.0
TF_3	G_631	downregulates-expression	1.0
TF_3	G_205	downregulates-expression	1.0
TF_3	G_568	downregulates-expression	1.0
TF_3	G_294	downregulates-expression	1.0
TF_3	G_471	downregulates-expression	1.0
TF_3	G_252	downregulates-expression	1.0
TF_3	G_503	downregulates-expression	1.0
TF_3	G_147	downregulates-expression	1.0
TF_3	G_344	downregulates-expression	1.0
TF_3	G_466	downregulates-expression	1.0
TF_3	G_613	downregulates-expression	1.0
TF_3	G_463	downregulates-expression	1.0
TF_3	G_79	downregulates-expression	1.0
TF_3	G_476	downregulates-expression	1.0
TF_3	G_13	downregulates-expression	1.0
TF_3	G_179	downregulates-expression	1.0
TF_3	G_791	downregulates-expression	1.0
TF_3	G_615	downregulates-expression	1.0
TF_3	G_841	downregulates-expression	1.0
TF_4	G_972	upregulates-expression	1.0
TF_4	G_52	upregulates-expression	1.0
TF_4	G_19	upregulates-expression	1.0
TF_4	G_99	upregulates-expression	1.0
TF_4	G_508	upregulates-expression	1.0
TF_4	G_327	upregulates-expression	1.0
TF_4	G_908	upregulates-expression	1.0
TF_4	G_567	upregulates-expression	1.0
TF_4	G_135	upregulates-expression	1.0
TF_4	G_693	upregulates-expression	1.0
TF_4	G_966	upregulates-expression	1.0
TF_4	G_548	upregulates-expression	1.0
TF_4	G_64	upregulates-expression	1.0
TF_4	G_803	upregulates-expression	1.0
TF_4	G_777	upregulates-expression	1.0
TF_4	G_895	downregulates-expression	1.0
TF_4	G_702	downregulates-expression	1.0
TF_4	G_708	downregulates-expression	1.0
TF_4	G_494	downregulates-expression	1.0
TF_4	G_442	downregulates-expression	1.0
TF_4	G_666	downregulates-expression	1.0
TF_4	G_400	downregulates-expression	1.0
TF_4	G_96	downregulates-expression	1.0
TF_5	G_818	upregulates-expression	1.0
TF_5	G_4	upregulates-expression	1.0
TF_5	G_256	upregulates-expression	1.0
TF_5	G_381	upregulates-expression	1.0
TF_5	G_878	upregulates-expression	1.0
TF_5	G_743	upregulates-expression	1.0
TF_5	G_777	upregulates-expression	1.0
TF_5	G_75	downregulates-expression	1.0
TF_5	G_536	downregulates-expression	1.0
TF_5	G_953	downregulates-expression	1.0
TF_5	G_735	downregulates-expression	1.0
TF_5	G_120	downregulates-expression	1.0
TF_5	G_757	downregulates-expression	1.0
TF_5	G_671	downregulates-expression	1.0
TF_5	G_601	downregulates-expression	1.0
TF_5	G_361	downregulates-expression	1.0
TF_5	G_309	downregulates-expression	1.0
TF_5	G_603	downregulates-expression	1.0
TF_5	G_798	downregulates-expression	1.0
TF_5	G_122	downregulates-expression	1.0
TF_5	G_487	downregulates-expression	1.0
TF_5	G_780	downregulates-expression	1.0
TF_5	G_899	downregulates-expression	1.0
TF_5	G_422	downregulates-expression	1.0
TF_5	G_85	downregulates-expression	1.0
TF_5	G_444	downregulates-expression	1.0
TF_5	G_402	downregulates-expression	1.0
TF_5	G_518	downregulates-expression	1.0
TF_6	G_425	upregulates-expression	1.0
TF_6	G_25	upregulates-expression	1.0
TF_6	G_705	upregulates-expression	1.0
TF_6	G_596	upregulates-expression	1.0
TF_6	G_949	upregulates-expression	1.0
TF_6	G_922	upregulates-expression	1.0
TF_6	G_634	upregulates-expression	1.0
TF_6	G_77	upregulates-expression	1.0
TF_6	G_948	upregulates-expression	1.0
TF_6	G_91	upregulates-expression	1.0
TF_6	G_771	upregulates-expression	1.0
TF_6	G_278	upregulates-expression	1.0
TF_6	G_735	upregulates-expression	1.0
TF_6	G_459	upregulates-expression	1.0
TF_6	G_781	downregulates-expression	1.0
TF_6	G_707	downregulates-expression	1.0
TF_6	G_848	downregulates-expression	1.0
TF_6	G_603	downregulates-expression	1.0
TF_6	G_363	downregulates-expression	1.0
TF_6	G_52	downregulates-expression	1.0
TF_6	G_925	downregulates-expression	1.0
TF_6	G_59	downregulates-expression	1.0
TF_6	G_144	downregulates-expression	1.0
TF_6	G_838	downregulates-expression	1.0
TF_6	G_840	downregulates-expression	1.0
TF_6	G_712	downregulates-expression	1.0
TF_6	G_758	downregulates-expression	1.0
TF_6	G_744	downregulates-expression	1.0
TF_6	G_408	downregulates-expression	1.0
TF_6	G_327	downregulates-expression	1.0
TF_6	G_17	downregulates-expression	1.0
TF_6	G_875	downregulates-expression	1.0
TF_7	G_815	upregulates-expression	1.0
TF_7	G_204	upregulates-expression	1.0
TF_7	G_722	upregulates-expression	1.0
TF_7	G_57	upregulates-expression	1.0
TF_7	G_318	upregulates-expression	1.0
TF_7	G_703	upregulates-expression	1.0
TF_7	G_994	upregulates-expression	1.0
TF_7	G_1	upregulates-expression	1.0
TF_7	G_667	upregulates-expression	1.0
TF_7	G_7	upregulates-expression	1.0
TF_7	G_847	upregulates-expression	1.0
TF_7	G_474	upregulates-expression	1.0
TF_7	G_918	upregulates-expression	1.0
TF_7	G_956	upregulates-expression	1.0
TF_7	G_227	upregulates-expression	1.0
TF_7	G_69	upregulates-expression	1.0
TF_7	G_551	upregulates-expression	1.0
